"",BBFB1.M.N.DE.W1.S1.S1.T.C.SJ2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SJ2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Other business services / Professional and management consulting services / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:53,
1991-01,124.979,
1991-02,102.466,
1991-03,114.622,
1991-04,117.779,
1991-05,112.914,
1991-06,105.403,
1991-07,110.224,
1991-08,116.043,
1991-09,81.155,
1991-10,136.478,
1991-11,101.234,
1991-12,137.030,
1992-01,154.003,
1992-02,145.859,
1992-03,155.038,
1992-04,120.305,
1992-05,129.376,
1992-06,123.986,
1992-07,136.268,
1992-08,143.896,
1992-09,116.022,
1992-10,151.690,
1992-11,132.093,
1992-12,184.798,
1993-01,151.070,
1993-02,122.936,
1993-03,137.161,
1993-04,134.444,
1993-05,135.718,
1993-06,112.881,
1993-07,146.433,
1993-08,167.076,
1993-09,145.094,
1993-10,139.550,
1993-11,161.760,
1993-12,151.326,
1994-01,228.403,
1994-02,152.065,
1994-03,226.803,
1994-04,144.780,
1994-05,173.871,
1994-06,142.051,
1994-07,180.628,
1994-08,206.308,
1994-09,178.303,
1994-10,175.254,
1994-11,161.026,
1994-12,143.465,
1995-01,299.704,
1995-02,251.047,
1995-03,169.948,
1995-04,129.414,
1995-05,189.229,
1995-06,209.722,
1995-07,229.069,
1995-08,188.353,
1995-09,147.819,
1995-10,201.780,
1995-11,237.844,
1995-12,268.006,
1996-01,245.860,
1996-02,209.308,
1996-03,240.543,
1996-04,206.998,
1996-05,169.182,
1996-06,207.007,
1996-07,270.507,
1996-08,246.885,
1996-09,188.473,
1996-10,179.134,
1996-11,227.260,
1996-12,236.467,
1997-01,278.031,
1997-02,323.914,
1997-03,215.748,
1997-04,246.813,
1997-05,303.994,
1997-06,195.546,
1997-07,337.763,
1997-08,306.525,
1997-09,247.810,
1997-10,265.921,
1997-11,307.756,
1997-12,324.777,
1998-01,321.673,
1998-02,265.483,
1998-03,293.899,
1998-04,279.110,
1998-05,339.105,
1998-06,271.681,
1998-07,381.897,
1998-08,346.451,
1998-09,317.926,
1998-10,233.295,
1998-11,227.341,
1998-12,460.389,
1999-01,316.352,
1999-02,302.353,
1999-03,335.316,
1999-04,284.645,
1999-05,233.788,
1999-06,325.870,
1999-07,311.567,
1999-08,349.808,
1999-09,319.808,
1999-10,424.847,
1999-11,336.146,
1999-12,368.909,
2000-01,482.042,
2000-02,543.294,
2000-03,381.610,
2000-04,341.870,
2000-05,518.974,
2000-06,352.903,
2000-07,474.224,
2000-08,349.132,
2000-09,427.137,
2000-10,431.706,
2000-11,523.734,
2000-12,673.962,
2001-01,495.410,
2001-02,511.915,
2001-03,568.937,
2001-04,551.217,
2001-05,524.579,
2001-06,497.189,
2001-07,657.669,
2001-08,474.140,
2001-09,545.010,
2001-10,705.888,
2001-11,509.732,
2001-12,744.892,
2002-01,628.105,
2002-02,452.065,
2002-03,495.447,
2002-04,711.471,
2002-05,451.611,
2002-06,452.650,
2002-07,775.725,
2002-08,463.979,
2002-09,442.088,
2002-10,586.334,
2002-11,651.680,
2002-12,759.834,
2003-01,664.302,
2003-02,508.685,
2003-03,524.993,
2003-04,660.207,
2003-05,515.047,
2003-06,482.432,
2003-07,678.126,
2003-08,521.158,
2003-09,451.274,
2003-10,588.741,
2003-11,644.562,
2003-12,887.111,
2004-01,551.856,
2004-02,537.595,
2004-03,662.686,
2004-04,748.435,
2004-05,772.084,
2004-06,628.340,
2004-07,728.604,
2004-08,658.384,
2004-09,676.173,
2004-10,817.634,
