"",BBSF2.M.1.T.00000.GEL01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.GEL01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Money market funds / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:46,
2009-09,78,
2009-10,83,
2009-11,87,
2009-12,88,
2010-01,90,
2010-02,111,
2010-03,112,
2010-04,114,
2010-05,146,
2010-06,146,
2010-07,156,
2010-08,140,
2010-09,161,
2010-10,156,
2010-11,142,
2010-12,145,
2011-01,146,
2011-02,174,
2011-03,144,
2011-04,125,
2011-05,152,
2011-06,152,
2011-07,101,
2011-08,97,
2011-09,93,
2011-10,88,
2011-11,75,
2011-12,72,
2012-01,73,
2012-02,88,
2012-03,86,
2012-04,86,
2012-05,86,
2012-06,86,
2012-07,38,
2012-08,47,
2012-09,47,
2012-10,47,
2012-11,39,
2012-12,2025,
2013-01,2027,
2013-02,1301,
2013-03,1178,
2013-04,1226,
2013-05,1226,
2013-06,41,
2013-07,41,
2013-08,41,
2013-09,41,
2013-10,41,
2013-11,31,
2013-12,24,
2014-01,22,
2014-02,18,
2014-03,19,
2014-04,26,
2014-05,26,
2014-06,26,
2014-07,25,
2014-08,26,
2014-09,9,
2014-10,9,
2014-11,9,
