"",BBK01.OECB07I,BBK01.OECB07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:00,
2002-01,0.626,
2002-04,0.613,
2002-07,0.574,
2002-10,0.505,
2003-01,0.412,
2003-04,0.455,
2003-07,0.438,
2003-10,0.424,
2004-01,0.397,
2004-04,0.377,
2004-07,0.339,
2004-10,0.320,
2005-01,0.372,
2005-04,0.395,
2005-07,0.371,
2005-10,0.348,
2006-01,0.348,
2006-04,0.320,
2006-07,0.302,
2006-10,0.292,
2007-01,0.306,
2007-04,0.306,
2007-07,0.339,
2007-10,0.317,
2008-01,0.345,
2008-04,0.420,
2008-07,0.422,
2008-10,0.424,
2009-01,0.406,
2009-04,0.350,
2009-07,0.342,
2009-10,0.333,
2010-01,0.363,
2010-04,0.326,
2010-07,0.517,
2010-10,0.463,
2011-01,0.443,
2011-04,0.443,
2011-07,0.453,
2011-10,0.449,
2012-01,0.460,
2012-04,0.623,
2012-07,0.631,
2012-10,0.624,
2013-01,0.646,
2013-04,1.263,
2013-07,1.266,
2013-10,1.032,
2014-01,0.804,
2014-04,0.633,
2014-07,0.642,
