"",BBDE1.M.DE.W.BAA1.A2P100000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P100000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Production sector excluding construction (B -E) / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:18:35,
1991-01,80.9,
1991-02,81.5,
1991-03,89.5,
1991-04,83.2,
1991-05,80.8,
1991-06,87.4,
1991-07,79.8,
1991-08,74.2,
1991-09,86.0,
1991-10,88.8,
1991-11,91.4,
1991-12,82.6,
1992-01,80.0,
1992-02,82.5,
1992-03,89.3,
1992-04,83.5,
1992-05,81.1,
1992-06,83.7,
1992-07,77.4,
1992-08,73.3,
1992-09,84.6,
1992-10,85.6,
1992-11,85.8,
1992-12,76.4,
1993-01,72.6,
1993-02,72.8,
1993-03,80.9,
1993-04,75.0,
1993-05,73.5,
1993-06,76.4,
1993-07,70.8,
1993-08,69.0,
1993-09,80.0,
1993-10,81.0,
1993-11,82.2,
1993-12,75.1,
1994-01,71.2,
1994-02,73.7,
1994-03,81.5,
1994-04,77.2,
1994-05,75.4,
1994-06,79.3,
1994-07,75.1,
1994-08,70.1,
1994-09,82.5,
1994-10,85.1,
1994-11,86.6,
1994-12,78.6,
1995-01,73.6,
1995-02,76.1,
1995-03,84.1,
1995-04,78.8,
1995-05,77.9,
1995-06,80.8,
1995-07,76.9,
1995-08,70.7,
1995-09,83.7,
1995-10,82.2,
1995-11,84.5,
1995-12,77.0,
1996-01,73.2,
1996-02,74.8,
1996-03,83.5,
1996-04,77.4,
1996-05,77.0,
1996-06,80.5,
1996-07,76.6,
1996-08,72.0,
1996-09,84.1,
1996-10,83.6,
1996-11,86.1,
1996-12,78.2,
1997-01,74.1,
1997-02,76.3,
1997-03,85.7,
1997-04,79.8,
1997-05,77.8,
1997-06,83.9,
1997-07,81.6,
1997-08,73.2,
1997-09,85.3,
1997-10,87.2,
1997-11,89.1,
1997-12,81.5,
1998-01,78.5,
1998-02,80.2,
1998-03,90.4,
1998-04,83.7,
1998-05,82.8,
1998-06,86.0,
1998-07,84.9,
1998-08,77.1,
1998-09,87.9,
1998-10,88.7,
1998-11,89.3,
1998-12,81.2,
1999-01,79.2,
1999-02,79.5,
1999-03,89.0,
1999-04,83.5,
1999-05,82.6,
1999-06,86.6,
1999-07,84.7,
1999-08,78.6,
1999-09,89.9,
1999-10,91.2,
1999-11,93.0,
1999-12,84.3,
2000-01,80.7,
2000-02,84.2,
2000-03,93.7,
2000-04,88.3,
2000-05,88.7,
2000-06,90.7,
2000-07,90.6,
2000-08,83.6,
2000-09,95.9,
2000-10,96.1,
2000-11,98.0,
2000-12,89.2,
2001-01,85.9,
2001-02,88.7,
2001-03,97.3,
2001-04,89.5,
2001-05,88.9,
2001-06,93.1,
2001-07,89.0,
2001-08,83.6,
2001-09,94.3,
2001-10,93.0,
2001-11,93.6,
2001-12,85.2,
2002-01,82.8,
2002-02,84.5,
2002-03,94.4,
2002-04,88.4,
2002-05,86.3,
2002-06,92.1,
