"",BBK01.OEXB03O,BBK01.OEXB03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:08,
2002-01,-0.778,
2002-04,-0.736,
2002-07,-0.535,
2002-10,-0.270,
2003-01,-0.409,
2003-04,-0.312,
2003-07,-0.274,
2003-10,-0.276,
2004-01,-0.585,
2004-04,-1.125,
2004-07,-1.238,
2004-10,-3.724,
2005-01,0.642,
2005-04,0.649,
2005-07,0.640,
2005-10,0.667,
2006-01,0.670,
2006-04,0.549,
2006-07,0.559,
2006-10,0.611,
2007-01,0.622,
2007-04,0.690,
2007-07,0.656,
2007-10,0.684,
2008-01,0.683,
2008-04,0.697,
2008-07,0.667,
2008-10,0.644,
2009-01,0.676,
2009-04,0.984,
2009-07,0.947,
2009-10,0.944,
2010-01,0.731,
2010-04,0.764,
2010-07,0.931,
2010-10,0.956,
2011-01,0.865,
2011-04,0.879,
2011-07,0.860,
2011-10,0.836,
2012-01,1.084,
2012-04,1.257,
2012-07,1.222,
2012-10,1.242,
2013-01,1.206,
2013-04,1.141,
2013-07,1.125,
2013-10,0.927,
2014-01,0.934,
2014-04,0.914,
2014-07,0.945,
