"",BBK01.OEBK04J,BBK01.OEBK04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:10,
2002-01,0.183,
2002-04,0.182,
2002-07,0.190,
2002-10,0.225,
2003-01,0.187,
2003-04,0.182,
2003-07,0.161,
2003-10,0.161,
2004-01,0.166,
2004-04,0.171,
2004-07,0.173,
2004-10,0.165,
2005-01,0.165,
2005-04,0.141,
2005-07,0.107,
2005-10,0.114,
2006-01,0.112,
2006-04,0.113,
2006-07,0.110,
2006-10,0.139,
2007-01,0.143,
2007-04,0.167,
2007-07,0.201,
2007-10,0.218,
2008-01,0.226,
2008-04,0.219,
2008-07,0.253,
2008-10,0.293,
2009-01,0.224,
2009-04,0.190,
2009-07,0.164,
2009-10,0.148,
2010-01,0.139,
2010-04,0.133,
2010-07,0.146,
2010-10,0.126,
2011-01,0.137,
2011-04,0.139,
2011-07,0.145,
2011-10,0.104,
2012-01,0.123,
2012-04,0.104,
2012-07,0.090,
2012-10,0.063,
2013-01,0.060,
2013-04,0.054,
2013-07,0.053,
2013-10,0.053,
2014-01,0.052,
2014-04,0.053,
2014-07,0.049,
