"",BBK01.OEAE19J,BBK01.OEAE19J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:41,
2002-01,0.638,
2002-04,0.623,
2002-07,0.567,
2002-10,0.556,
2003-01,0.539,
2003-04,0.494,
2003-07,0.477,
2003-10,0.460,
2004-01,0.456,
2004-04,0.450,
2004-07,0.436,
2004-10,0.488,
2005-01,0.423,
2005-04,0.442,
2005-07,0.425,
2005-10,0.407,
2006-01,0.404,
2006-04,0.455,
2006-07,0.529,
2006-10,0.482,
2007-01,0.485,
2007-04,0.485,
2007-07,0.525,
2007-10,0.485,
2008-01,0.508,
2008-04,0.512,
2008-07,0.519,
2008-10,0.406,
2009-01,0.373,
2009-04,0.378,
2009-07,0.401,
2009-10,0.393,
2010-01,0.227,
2010-04,0.337,
2010-07,0.322,
2010-10,0.350,
2011-01,0.336,
2011-04,0.343,
2011-07,0.334,
2011-10,0.340,
2012-01,0.311,
2012-04,0.395,
2012-07,0.404,
2012-10,0.348,
2013-01,0.382,
2013-04,0.399,
2013-07,0.418,
2013-10,0.416,
2014-01,0.420,
2014-04,0.406,
2014-07,0.435,
