"",BBFN1.M.DE.N.1.A.SY.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SY.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Syria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:17,
1982-09,0.034,
1982-10,0.034,
1982-11,0.034,
1982-12,0.034,
1983-01,0.034,
1983-02,0.034,
1983-03,0.034,
1983-04,0.034,
1983-05,0.034,
1983-06,0.035,
1983-07,0.036,
1983-08,0.036,
1983-09,0.035,
1983-10,0.037,
1983-11,0.036,
1983-12,0.035,
1984-01,0.035,
1984-02,0.036,
1984-03,0.039,
1984-04,0.039,
1984-05,0.038,
1984-06,0.040,
1984-07,0.038,
1984-08,0.040,
1984-09,0.039,
1984-10,0.041,
1984-11,0.041,
1984-12,0.041,
1985-01,0.043,
1985-02,0.042,
1985-03,0.043,
1985-04,0.043,
1985-05,0.041,
1985-06,0.042,
1985-07,0.120,
1985-08,0.129,
1985-09,0.134,
1985-10,0.137,
1985-11,0.145,
1985-12,0.124,
1986-01,0.129,
1986-02,0.131,
1986-03,0.134,
1986-04,0.144,
1986-05,0.155,
1986-06,0.161,
1986-07,0.166,
1986-08,0.170,
1986-09,0.179,
1986-10,0.182,
1986-11,0.188,
1986-12,0.188,
1987-01,0.193,
1987-02,0.166,
1987-03,0.163,
1987-04,0.164,
1987-05,0.168,
1987-06,0.166,
1987-07,0.156,
1987-08,0.158,
1987-09,0.158,
1987-10,0.159,
1987-11,0.157,
1987-12,0.156,
1988-01,0.148,
1988-02,0.148,
1988-03,0.148,
1988-04,0.149,
1988-05,0.146,
1988-06,0.143,
1988-07,0.147,
1988-08,0.149,
1988-09,0.153,
1988-10,0.156,
1988-11,0.163,
1988-12,0.183,
1989-01,0.186,
1989-02,0.201,
1989-03,0.207,
1989-04,0.208,
1989-05,0.210,
1989-06,0.211,
1989-07,0.209,
1989-08,0.214,
1989-09,0.214,
1989-10,0.221,
1989-11,0.222,
1989-12,0.224,
1990-01,0.232,
1990-02,0.240,
1990-03,0.242,
1990-04,0.241,
1990-05,0.247,
1990-06,0.256,
1990-07,0.250,
1990-08,0.248,
1990-09,0.237,
1990-10,0.242,
1990-11,0.234,
1990-12,0.197,
1991-01,0.190,
1991-02,0.183,
1991-03,0.183,
1991-04,0.188,
1991-05,0.192,
1991-06,0.200,
1991-07,0.199,
1991-08,0.203,
1991-09,0.208,
1991-10,0.204,
1991-11,0.211,
1991-12,0.213,
1992-01,0.212,
1992-02,0.206,
1992-03,0.199,
1992-04,0.197,
1992-05,0.194,
1992-06,0.189,
1992-07,0.182,
1992-08,0.187,
1992-09,0.182,
1992-10,0.173,
1992-11,0.173,
1992-12,0.180,
1993-01,0.188,
1993-02,0.184,
1993-03,0.180,
1993-04,0.178,
1993-05,0.177,
1993-06,0.172,
1993-07,0.177,
1993-08,0.178,
1993-09,0.176,
1993-10,0.166,
1993-11,0.171,
1993-12,0.169,
1994-01,0.165,
1994-02,0.164,
1994-03,0.163,
1994-04,0.160,
1994-05,0.156,
1994-06,0.150,
1994-07,0.139,
1994-08,0.138,
1994-09,0.130,
1994-10,0.135,
1994-11,0.132,
1994-12,0.136,
1995-01,0.128,
1995-02,0.124,
1995-03,0.115,
1995-04,0.108,
1995-05,0.101,
1995-06,0.096,
1995-07,0.094,
1995-08,0.088,
1995-09,0.099,
1995-10,0.101,
1995-11,0.101,
1995-12,0.110,
1996-01,0.108,
1996-02,0.094,
1996-03,0.089,
1996-04,0.080,
1996-05,0.074,
1996-06,0.094,
1996-07,0.090,
1996-08,0.087,
1996-09,0.086,
1996-10,0.085,
1996-11,0.086,
1996-12,0.084,
1997-01,0.098,
1997-02,0.085,
1997-03,0.089,
1997-04,0.089,
