"",BBFB1.Q.N.DE.JP.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:09,
1991-01,4743.101,
1991-04,5559.292,
1991-07,5539.077,
1991-10,4847.968,
1992-01,5174.973,
1992-04,4975.720,
1992-07,4648.112,
1992-10,4710.022,
1993-01,4418.836,
1993-04,4472.946,
1993-07,4459.982,
1993-10,4354.682,
1994-01,4108.200,
1994-04,4519.975,
1994-07,4187.651,
1994-10,4670.099,
1995-01,4434.509,
1995-04,4600.794,
1995-07,4314.347,
1995-10,4819.669,
1996-01,4635.414,
1996-04,4426.867,
1996-07,4032.589,
1996-10,4211.843,
1997-01,4500.101,
1997-04,4803.603,
1997-07,4823.513,
1997-10,5151.828,
1998-01,5235.219,
1998-04,5290.544,
1998-07,4840.999,
1998-10,4972.286,
1999-01,4941.001,
1999-04,5227.330,
1999-07,5118.958,
1999-10,5727.698,
2000-01,6358.029,
2000-04,6449.037,
2000-07,6328.147,
2000-10,6923.675,
2001-01,6043.404,
2001-04,5993.979,
2001-07,4929.792,
2001-10,5042.965,
2002-01,4429.675,
2002-04,5014.738,
2002-07,4844.069,
2002-10,5027.312,
2003-01,4885.846,
2003-04,4888.230,
2003-07,4506.504,
2003-10,4936.250,
2004-01,5320.121,
2004-04,5464.833,
2004-07,5374.410,
2004-10,5533.922,
2005-01,5021.157,
2005-04,5411.267,
2005-07,5245.878,
2005-10,6286.191,
2006-01,6043.733,
2006-04,5837.097,
2006-07,5720.272,
2006-10,6249.830,
2007-01,6352.502,
2007-04,5793.271,
2007-07,5857.298,
2007-10,6109.520,
2008-01,6042.474,
2008-04,5621.263,
2008-07,5628.407,
2008-10,5947.822,
2009-01,5156.923,
2009-04,4348.224,
2009-07,4551.671,
2009-10,4929.257,
2010-01,5274.358,
2010-04,5736.943,
2010-07,5813.898,
2010-10,5981.066,
2011-01,6051.960,
2011-04,5842.361,
2011-07,6077.185,
2011-10,6225.301,
2012-01,5869.923,
2012-04,5690.277,
2012-07,5598.820,
2012-10,5363.252,
2013-01,4999.301,
2013-04,4901.801,
2013-07,4944.656,
2013-10,4850.345,
2014-01,4859.013,Provisional value
2014-04,4640.536,Provisional value
2014-07,4775.774,Provisional value
