"",BBK01.OECL05U,BBK01.OECL05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:49,
2002-01,0.003,
2002-04,0.003,
2002-07,0.002,
2002-10,0.003,
2003-01,0.002,
2003-04,0.002,
2003-07,0.003,
2003-10,0.002,
2004-01,0.003,
2004-04,0.006,
2004-07,0.006,
2004-10,0.008,
2005-01,0.060,
2005-04,0.057,
2005-07,0.055,
2005-10,0.052,
2006-01,0.051,
2006-04,0.051,
2006-07,0.050,
2006-10,0.048,
2007-01,0.047,
2007-04,0.046,
2007-07,0.046,
2007-10,0.044,
2008-01,0.042,
2008-04,0.041,
2008-07,0.041,
2008-10,0.047,
2009-01,0.048,
2009-04,0.051,
2009-07,0.060,
2009-10,0.065,
2010-01,0.068,
2010-04,0.066,
2010-07,0.067,
2010-10,0.065,
2011-01,0.065,
2011-04,0.050,
2011-07,0.042,
2011-10,0.041,
2012-01,0.041,
2012-04,0.041,
2012-07,0.037,
2012-10,0.033,
2013-01,0.029,
2013-04,0.029,
2013-07,0.027,
2013-10,0.025,
2014-01,0.022,
2014-04,0.020,
2014-07,0.018,
