"",BBK01.OEAH33O,BBK01.OEAH33O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:00,
2002-01,-0.014,
2002-04,0.279,
2002-07,0.350,
2002-10,0.293,
2003-01,0.458,
2003-04,0.628,
2003-07,1.186,
2003-10,1.165,
2004-01,1.806,
2004-04,2.160,
2004-07,2.005,
2004-10,2.574,
2005-01,10.773,
2005-04,10.699,
2005-07,10.898,
2005-10,11.321,
2006-01,11.630,
2006-04,11.611,
2006-07,12.124,
2006-10,12.407,
2007-01,12.550,
2007-04,12.819,
2007-07,12.948,
2007-10,13.322,
2008-01,13.751,
2008-04,13.889,
2008-07,9.759,
2008-10,9.993,
2009-01,11.357,
2009-04,11.432,
2009-07,11.585,
2009-10,12.298,
2010-01,11.819,
2010-04,11.726,
2010-07,11.480,
2010-10,11.059,
2011-01,10.638,
2011-04,10.309,
2011-07,10.166,
2011-10,9.763,
2012-01,9.494,
2012-04,9.334,
2012-07,9.397,
2012-10,9.217,
2013-01,8.917,
2013-04,8.327,
2013-07,7.854,
2013-10,7.810,
2014-01,7.668,
2014-04,7.550,
2014-07,7.211,
