"",BBFB1.Q.N.DE.US.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:55,
1991-01,763.454,
1991-04,1171.071,
1991-07,758.833,
1991-10,598.903,
1992-01,410.435,
1992-04,616.861,
1992-07,312.590,
1992-10,297.276,
1993-01,161.329,
1993-04,296.882,
1993-07,224.981,
1993-10,-4.543,
1994-01,306.252,
1994-04,392.714,
1994-07,180.941,
1994-10,220.726,
1995-01,-109.231,
1995-04,114.452,
1995-07,-249.552,
1995-10,27.999,
1996-01,-110.645,
1996-04,188.526,
1996-07,-166.300,
1996-10,-60.838,
1997-01,-559.747,
1997-04,62.381,
1997-07,-188.747,
1997-10,-218.320,
1998-01,-403.484,
1998-04,-428.412,
1998-07,-993.054,
1998-10,-1113.530,
1999-01,-981.775,
1999-04,-755.376,
1999-07,-675.489,
1999-10,-1574.291,
2000-01,-473.065,
2000-04,-123.334,
2000-07,-474.766,
2000-10,-1518.352,
2001-01,-877.410,
2001-04,-867.529,
2001-07,-1570.677,
2001-10,-1778.676,
2002-01,-216.739,
2002-04,309.734,
2002-07,531.194,
2002-10,286.362,
2003-01,-498.567,
2003-04,305.023,
2003-07,-34.013,
2003-10,-384.352,
2004-01,-127.709,
2004-04,8.760,
2004-07,357.341,
2004-10,-43.380,
2005-01,791.606,
2005-04,128.861,
2005-07,-317.663,
2005-10,-370.056,
2006-01,-1040.645,
2006-04,29.283,
2006-07,-323.432,
2006-10,-1359.142,
2007-01,-424.267,
2007-04,346.927,
2007-07,-107.319,
2007-10,336.977,
2008-01,-555.161,
2008-04,-179.136,
2008-07,-654.603,
2008-10,21.513,
2009-01,115.334,
2009-04,-95.904,
2009-07,-430.910,
2009-10,76.478,
2010-01,133.524,
2010-04,-473.331,
2010-07,-300.264,
2010-10,154.765,
2011-01,51.940,
2011-04,-440.681,
2011-07,-800.311,
2011-10,-77.802,
2012-01,-1534.014,
2012-04,-140.279,
2012-07,-397.700,
2012-10,116.638,
2013-01,-1140.073,
2013-04,-731.687,
2013-07,-464.567,
2013-10,-588.772,
2014-01,-141.186,Provisional value
2014-04,-366.148,Provisional value
2014-07,-974.252,Provisional value
