"",BBNZ1.Q.DE.N.G.1961.A,BBNZ1.Q.DE.N.G.1961.A_FLAGS
"",Germany / National accounts / Gross wages and salaries per hour worked by employees / Production sector (including construction),
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:21:08,
1991-01,49.8,
1991-04,59.8,
1991-07,55.2,
1991-10,64.9,
1992-01,54.4,
1992-04,65.0,
1992-07,60.9,
1992-10,69.8,
1993-01,59.1,
1993-04,69.6,
1993-07,64.3,
1993-10,73.5,
1994-01,61.9,
1994-04,71.7,
1994-07,65.6,
1994-10,75.8,
1995-01,63.2,
1995-04,75.5,
1995-07,68.3,
1995-10,78.8,
1996-01,67.6,
1996-04,77.5,
1996-07,69.9,
1996-10,82.2,
1997-01,70.9,
1997-04,77.1,
1997-07,70.3,
1997-10,82.0,
1998-01,69.7,
1998-04,80.7,
1998-07,71.8,
1998-10,82.3,
1999-01,71.8,
1999-04,82.5,
1999-07,74.0,
1999-10,83.5,
2000-01,73.0,
2000-04,86.2,
2000-07,77.0,
2000-10,88.4,
2001-01,76.3,
2001-04,89.2,
2001-07,79.2,
2001-10,90.9,
2002-01,79.0,
2002-04,90.0,
2002-07,80.8,
2002-10,92.8,
2003-01,80.7,
2003-04,93.6,
2003-07,82.4,
2003-10,93.9,
2004-01,82.6,
2004-04,95.1,
2004-07,84.0,
2004-10,93.3,
2005-01,86.5,
2005-04,94.7,
2005-07,85.6,
2005-10,96.5,
2006-01,83.4,
2006-04,98.3,
2006-07,87.3,
2006-10,97.0,
2007-01,84.6,
2007-04,100.8,
2007-07,88.8,
2007-10,100.1,
2008-01,88.9,
2008-04,99.5,
2008-07,89.8,
2008-10,104.2,
2009-01,92.0,
2009-04,108.1,
2009-07,93.8,
2009-10,104.6,
2010-01,94.4,
2010-04,108.5,
2010-07,93.8,
2010-10,103.7,
2011-01,94.8,
2011-04,112.2,
2011-07,96.0,
2011-10,108.4,
2012-01,95.7,
2012-04,118.6,
2012-07,101.2,
2012-10,113.8,
2013-01,101.5,
2013-04,119.2,
2013-07,101.8,
2013-10,116.2,
2014-01,101.8,
2014-04,122.6,
2014-07,103.7,
2014-10,117.7,
