"",BBK01.OEXI10L,BBK01.OEXI10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:28,
2002-01,5.005,
2002-04,4.395,
2002-07,4.431,
2002-10,4.288,
2003-01,4.072,
2003-04,3.887,
2003-07,6.810,
2003-10,2.653,
2004-01,0.443,
2004-04,0.343,
2004-07,0.331,
2004-10,0.296,
2005-01,1.139,
2005-04,0.676,
2005-07,0.267,
2005-10,0.806,
2006-01,0.851,
2006-04,0.935,
2006-07,1.058,
2006-10,1.055,
2007-01,1.088,
2007-04,1.130,
2007-07,1.103,
2007-10,1.419,
2008-01,1.350,
2008-04,1.301,
2008-07,0.909,
2008-10,0.978,
2009-01,1.009,
2009-04,1.105,
2009-07,1.118,
2009-10,1.106,
2010-01,1.059,
2010-04,0.995,
2010-07,0.966,
2010-10,0.932,
2011-01,0.877,
2011-04,0.971,
2011-07,0.947,
2011-10,0.926,
2012-01,0.718,
2012-04,0.683,
2012-07,0.880,
2012-10,0.828,
2013-01,0.779,
2013-04,0.764,
2013-07,0.760,
2013-10,0.737,
2014-01,0.668,
2014-04,0.764,
2014-07,1.208,
