"",BBFB1.Q.N.DE.HU.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:01,
1991-01,15.573,
1991-04,18.592,
1991-07,44.663,
1991-10,-5.415,
1992-01,98.835,
1992-04,-17.302,
1992-07,32.483,
1992-10,-106.586,
1993-01,58.546,
1993-04,26.705,
1993-07,136.009,
1993-10,-132.395,
1994-01,15.878,
1994-04,28.519,
1994-07,-128.067,
1994-10,93.143,
1995-01,-41.146,
1995-04,-17.017,
1995-07,58.785,
1995-10,-25.902,
1996-01,329.095,
1996-04,-203.399,
1996-07,8.867,
1996-10,-160.680,
1997-01,181.540,
1997-04,-77.157,
1997-07,252.635,
1997-10,46.387,
1998-01,-232.879,
1998-04,-22.256,
1998-07,195.228,
1998-10,392.588,
1999-01,-201.426,
1999-04,148.530,
1999-07,-196.920,
1999-10,1033.015,
2000-01,-515.345,
2000-04,-539.656,
2000-07,243.110,
2000-10,-193.695,
2001-01,-70.645,
2001-04,748.565,
2001-07,-321.911,
2001-10,-186.294,
2002-01,69.305,
2002-04,-87.833,
2002-07,-40.043,
2002-10,224.648,
2003-01,-103.041,
2003-04,76.184,
2003-07,581.390,
2003-10,-441.065,
2004-01,81.940,
2004-04,61.436,
2004-07,91.134,
2004-10,117.515,
2005-01,-411.910,
2005-04,-60.791,
2005-07,118.585,
2005-10,796.723,
2006-01,-109.729,
2006-04,-132.700,
2006-07,-7.039,
2006-10,-338.923,
2007-01,255.118,
2007-04,106.822,
2007-07,-0.087,
2007-10,86.147,
2008-01,-412.503,
2008-04,-92.222,
2008-07,343.031,
2008-10,85.055,
2009-01,71.774,
2009-04,-397.401,
2009-07,87.770,
2009-10,-182.641,
2010-01,654.962,
2010-04,-51.498,
2010-07,548.041,
2010-10,-573.170,
2011-01,348.753,
2011-04,-433.276,
2011-07,623.110,
2011-10,201.115,
2012-01,-694.334,
2012-04,78.020,
2012-07,998.243,
2012-10,992.655,
2013-01,-1983.057,
2013-04,-409.019,
2013-07,496.158,
2013-10,-551.219,
2014-01,315.403,Provisional value
2014-04,303.604,Provisional value
2014-07,-213.130,Provisional value
2014-10,31.510,Provisional value
