"",BBFB1.Q.N.DE.S19800.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:19,
1991-01,3759.662,
1991-04,3530.037,
1991-07,4143.408,
1991-10,3919.974,
1992-01,3761.157,
1992-04,3248.783,
1992-07,3500.851,
1992-10,3698.136,
1993-01,3657.288,
1993-04,3404.862,
1993-07,3870.491,
1993-10,3987.613,
1994-01,4215.405,
1994-04,3642.216,
1994-07,3969.012,
1994-10,4279.991,
1995-01,3969.933,
1995-04,3948.788,
1995-07,4384.520,
1995-10,4811.558,
1996-01,4271.312,
1996-04,3879.653,
1996-07,4074.826,
1996-10,4116.340,
1997-01,4424.888,
1997-04,4340.456,
1997-07,5064.708,
1997-10,4911.746,
1998-01,5131.746,
1998-04,4745.163,
1998-07,4836.659,
1998-10,5114.229,
1999-01,4743.002,
1999-04,4818.004,
1999-07,5425.812,
1999-10,5963.016,
2000-01,6259.552,
2000-04,6680.860,
2000-07,7117.449,
2000-10,8310.854,
2001-01,7163.484,
2001-04,6235.323,
2001-07,6076.170,
2001-10,6942.917,
2002-01,5938.551,
2002-04,6033.932,
2002-07,5967.898,
2002-10,6651.208,
2003-01,6430.178,
2003-04,5731.081,
2003-07,6170.742,
2003-10,7247.142,
2004-01,6609.088,
2004-04,6659.940,
2004-07,7343.098,
2004-10,8081.766,
2005-01,6782.963,
2005-04,7357.998,
2005-07,7564.765,
2005-10,9423.776,
2006-01,8469.303,
2006-04,8462.207,
2006-07,8208.335,
2006-10,9545.410,
2007-01,9033.800,
2007-04,8128.026,
2007-07,8398.561,
2007-10,8341.165,
2008-01,9043.174,
2008-04,7615.693,
2008-07,7683.218,
2008-10,8306.221,
2009-01,6680.680,
2009-04,5924.999,
2009-07,7218.395,
2009-10,7202.143,
2010-01,8253.058,
2010-04,9622.263,
2010-07,10007.382,
2010-10,9900.349,
2011-01,10250.067,
2011-04,9324.989,
2011-07,9923.022,
2011-10,8712.214,
2012-01,9458.547,
2012-04,9011.729,
2012-07,9131.974,
2012-10,8366.524,
2013-01,8847.526,
2013-04,9234.611,
2013-07,8981.986,
2013-10,8720.752,
2014-01,9279.626,Provisional value
2014-04,9099.833,Provisional value
2014-07,9562.399,Provisional value
