"",BBEX3.M.PEN.EUR.CA.AC.A01,BBEX3.M.PEN.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Peru / EUR 1 = PEN ... (middle),
unit,PEN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:03,
2003-01,3.7105,
2003-02,3.7550,
2003-03,3.7815,
2003-04,3.7915,
2003-05,4.1015,
2003-06,3.9735,
2003-07,3.9060,
2003-08,3.8140,
2003-09,3.9945,
2003-10,4.0540,
2003-11,4.0315,
2003-12,4.3275,
2004-01,4.3540,
2004-02,4.2975,
2004-03,4.2495,
2004-04,4.2110,
2004-05,4.2440,
2004-06,4.2035,
2004-07,4.2125,
2004-08,4.1185,
2004-09,4.1920,
2004-10,4.3515,
2004-11,4.3040,
2004-12,4.4700,
2005-01,4.2505,
2005-02,4.3200,
2005-03,4.2435,
2005-04,4.2250,
2005-05,4.0465,
2005-06,3.9655,
2005-07,3.9245,
2005-08,3.9995,
2005-09,4.0160,
2005-10,4.0515,
2005-11,4.1610,
2005-12,3.9950,
2006-01,3.9955,
2006-02,3.9100,
2006-03,4.0670,
2006-04,4.1580,
2006-05,4.2345,
2006-06,4.1490,
2006-07,4.1255,
2006-08,4.1440,
2006-09,4.1200,
2006-10,4.1075,
2006-11,4.2775,
2006-12,4.1850,
2007-01,4.1590,
2007-02,4.2135,
2007-03,4.2375,
2007-04,4.3375,
2007-05,4.2665,
2007-06,4.2595,
2007-07,4.3160,
2007-08,4.3030,
2007-09,4.3935,
2007-10,4.2985,
2007-11,4.4315,
2007-12,4.3505,
2008-01,4.3555,
2008-02,4.3875,
2008-03,4.3530,
2008-04,4.4515,
2008-05,4.4255,
2008-06,4.6555,
2008-07,4.3915,
2008-08,4.3400,
2008-09,4.2340,
2008-10,3.9460,
2008-11,3.9575,
2008-12,4.3840,
2009-01,4.0920,
2009-02,4.1400,
2009-03,4.1890,
2009-04,3.9530,
2009-05,4.2225,
2009-06,4.2285,
2009-07,4.2430,
2009-08,4.1540,
2009-09,4.2250,
2009-10,4.2795,
2009-11,4.3295,
2009-12,4.1450,
2010-01,3.9635,
2010-02,3.8340,
2010-03,3.8255,
2010-04,3.7750,
2010-05,3.4795,
2010-06,3.4770,
2010-07,3.6270,
2010-08,3.5430,
2010-09,3.7735,
2010-10,3.9170,
2010-11,3.6740,
2010-12,3.6705,
2011-01,3.7785,
2011-02,3.8385,
2011-03,3.9510,
2011-04,4.2000,
2011-05,3.9650,
2011-06,3.9850,
2011-07,3.9140,
2011-08,3.8965,
2011-09,3.7585,
2011-10,3.7885,
2011-11,3.6820,
2011-12,3.5720,
2012-01,3.5635,
2012-02,3.6115,
2012-03,3.7100,
2012-04,3.5880,
2012-05,3.3930,
2012-06,3.3550,
2012-07,3.2845,
2012-08,3.2870,
2012-09,3.3535,
2012-10,3.3595,
2012-11,3.3495,
2012-12,3.4110,
2013-01,3.4610,
2013-02,3.3550,
2013-03,3.3155,
2013-04,3.4180,
2013-05,3.5260,
2013-06,3.6345,
2013-07,3.7120,
2013-08,3.7135,
2013-09,3.7380,
2013-10,3.8005,
2013-11,3.8295,
2013-12,3.8295,
2014-01,3.8090,
2014-02,3.8600,
2014-03,3.8505,
2014-04,3.8900,
2014-05,3.7970,
2014-06,3.8540,
2014-07,3.7375,
2014-08,3.7590,
2014-09,3.7050,
2014-10,3.7005,
2014-11,3.6065,
2014-12,3.6555,
2015-01,3.4965,
"","Source: Calculated on the basis of the buying and selling rates of the Superintendencia de Banca, Seguros y AFP, Lima.",
