"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA._T.FGED._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA._T.FGED._Z._T._X.N_FLAGS
"",IIP - Gross external debt - Positions - Liabilities - all sectors - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:57,
1999-10,1929687,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,2303028,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,2537573,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,2692089,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,2710964,
2004-01,2831728,
2004-04,2778560,
2004-07,2855478,
2004-10,2847278,
2005-01,2990377,
2005-04,3116472,
2005-07,3148525,
2005-10,3117849,
2006-01,3196054,
2006-04,3175762,
2006-07,3248008,
2006-10,3273983,
2007-01,3370880,
2007-04,3445798,
2007-07,3558354,
2007-10,3546285,
2008-01,3701565,
2008-04,3668600,
2008-07,3815386,
2008-10,3750512,
2009-01,3727621,
2009-04,3720102,
2009-07,3696390,
2009-10,3640941,
2010-01,3774859,
2010-04,3981089,
2010-07,4019502,
2010-10,4018678,
2011-01,3929080,
2011-04,3976039,
2011-07,4290109,
2011-10,4246086,
2012-01,4477893,
2012-04,4603376,
2012-07,4585456,
2012-10,4377107,
2013-01,4368556,
2013-04,4290083,
2013-07,4158388,
2013-10,3990013,
2014-01,4062125,
2014-04,4149722,
2014-07,4223394,
