"",BBK01.OELI03P,BBK01.OELI03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:41,
2002-01,1.088,
2002-04,1.050,
2002-07,0.999,
2002-10,1.098,
2003-01,1.056,
2003-04,0.965,
2003-07,0.974,
2003-10,1.054,
2004-01,0.966,
2004-04,0.939,
2004-07,0.921,
2004-10,0.922,
2005-01,0.909,
2005-04,0.906,
2005-07,0.912,
2005-10,1.001,
2006-01,0.929,
2006-04,0.953,
2006-07,0.925,
2006-10,1.086,
2007-01,1.062,
2007-04,1.129,
2007-07,1.178,
2007-10,1.320,
2008-01,1.317,
2008-04,1.364,
2008-07,1.535,
2008-10,1.771,
2009-01,1.527,
2009-04,1.338,
2009-07,1.195,
2009-10,1.191,
2010-01,1.016,
2010-04,0.940,
2010-07,0.900,
2010-10,1.064,
2011-01,0.994,
2011-04,1.015,
2011-07,0.990,
2011-10,1.100,
2012-01,0.930,
2012-04,0.891,
2012-07,0.808,
2012-10,0.779,
2013-01,0.698,
2013-04,0.643,
2013-07,0.624,
2013-10,0.740,
2014-01,0.648,
2014-04,0.621,
2014-07,0.592,
