"",BBK01.OXA7A3,BBK01.OXA7A3_FLAGS
"",Loans to non-financial corporations domiciled in other euro-area member states with an original maturity of more than two years and with a remaining maturity up to and including two years -  All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:20,
2010-06,15.840,
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,15.540,
2010-10,-,Nothing exists
2010-11,-,Nothing exists
2010-12,16.512,
2011-01,-,Nothing exists
2011-02,-,Nothing exists
2011-03,16.456,
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,19.100,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,21.855,
2011-10,-,Nothing exists
2011-11,-,Nothing exists
2011-12,23.032,
2012-01,-,Nothing exists
2012-02,-,Nothing exists
2012-03,23.057,
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,23.523,
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,24.089,
2012-10,-,Nothing exists
2012-11,-,Nothing exists
2012-12,22.723,
2013-01,-,Nothing exists
2013-02,-,Nothing exists
2013-03,21.222,
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,21.199,
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,20.301,
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,18.910,
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,18.555,
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,17.784,
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,18.311,
2014-10,-,Nothing exists
2014-11,-,Nothing exists
2014-12,18.294,Provisional value
