"",BBK01.OEAA08V,BBK01.OEAA08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:05,
2002-01,7.338,
2002-04,7.269,
2002-07,7.197,
2002-10,7.094,
2003-01,7.019,
2003-04,6.968,
2003-07,6.901,
2003-10,6.859,
2004-01,6.774,
2004-04,6.664,
2004-07,6.521,
2004-10,6.366,
2005-01,4.499,
2005-04,1.810,
2005-07,1.646,
2005-10,1.410,
2006-01,0.360,
2006-04,0.328,
2006-07,0.313,
2006-10,0.309,
2007-01,0.260,
2007-04,0.241,
2007-07,0.232,
2007-10,0.160,
2008-01,0.142,
2008-04,0.146,
2008-07,0.153,
2008-10,0.167,
2009-01,0.158,
2009-04,0.174,
2009-07,0.186,
2009-10,0.204,
2010-01,0.245,
2010-04,0.236,
2010-07,0.245,
2010-10,0.230,
2011-01,0.238,
2011-04,0.244,
2011-07,0.256,
2011-10,0.277,
2012-01,0.279,
2012-04,0.284,
2012-07,0.297,
2012-10,0.316,
2013-01,0.319,
2013-04,0.333,
2013-07,0.344,
2013-10,0.358,
2014-01,0.355,
2014-04,0.364,
2014-07,0.370,
