"",BBK01.OEAA45Q,BBK01.OEAA45Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:27,
2002-01,12.125,
2002-04,11.850,
2002-07,9.450,
2002-10,9.084,
2003-01,8.855,
2003-04,8.379,
2003-07,8.251,
2003-10,8.073,
2004-01,7.972,
2004-04,7.947,
2004-07,8.265,
2004-10,9.602,
2005-01,9.364,
2005-04,10.732,
2005-07,10.766,
2005-10,10.800,
2006-01,10.206,
2006-04,9.813,
2006-07,9.801,
2006-10,11.218,
2007-01,11.760,
2007-04,12.044,
2007-07,12.056,
2007-10,12.187,
2008-01,13.311,
2008-04,13.285,
2008-07,12.803,
2008-10,12.985,
2009-01,12.898,
2009-04,13.160,
2009-07,12.806,
2009-10,12.404,
2010-01,12.281,
2010-04,10.612,
2010-07,10.632,
2010-10,10.805,
2011-01,10.109,
2011-04,9.734,
2011-07,9.592,
2011-10,9.490,
2012-01,9.253,
2012-04,9.498,
2012-07,9.293,
2012-10,9.101,
2013-01,8.739,
2013-04,8.060,
2013-07,8.507,
2013-10,8.495,
2014-01,8.381,
2014-04,8.386,
2014-07,8.295,
