"",BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F89.S._T._X.N,BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F89.S._T._X.N_FLAGS
"",IIP - Other Investment - Other accounts receivable/payable - General government - Short-term original maturity (up to 1 year incl. incl.) - Liabilities - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:35,
1999-10,2158,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,3642,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,4902,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,3259,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,2201,
2004-01,51,
2004-04,1319,
2004-07,1856,
2004-10,294,
2005-01,12,
2005-04,17,
2005-07,1043,
2005-10,156,
2006-01,4842,
2006-04,6550,
2006-07,-636,
2006-10,-926,
2007-01,5226,
2007-04,5049,
2007-07,6217,
2007-10,855,
2008-01,5429,
2008-04,5049,
2008-07,5564,
2008-10,2599,
2009-01,5324,
2009-04,4890,
2009-07,5221,
2009-10,-,Nothing exists
2010-01,5034,
2010-04,4842,
2010-07,6550,
2010-10,-,Nothing exists
2011-01,3355,
2011-04,3179,
2011-07,3222,
2011-10,-,Nothing exists
2012-01,3579,
2012-04,3653,
2012-07,3724,
2012-10,-,Nothing exists
2013-01,3610,
2013-04,3559,
2013-07,4468,
2013-10,-,Nothing exists
2014-01,2970,
2014-04,2894,
2014-07,3375,
