"",BBK01.OECM05H,BBK01.OECM05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:47,
2002-01,0.904,
2002-04,0.901,
2002-07,0.897,
2002-10,0.898,
2003-01,0.604,
2003-04,0.641,
2003-07,0.561,
2003-10,0.553,
2004-01,0.510,
2004-04,0.508,
2004-07,0.458,
2004-10,0.457,
2005-01,0.413,
2005-04,0.408,
2005-07,0.337,
2005-10,0.342,
2006-01,0.318,
2006-04,0.328,
2006-07,0.338,
2006-10,0.339,
2007-01,0.313,
2007-04,0.318,
2007-07,0.545,
2007-10,0.524,
2008-01,0.578,
2008-04,0.586,
2008-07,0.611,
2008-10,1.092,
2009-01,1.062,
2009-04,1.170,
2009-07,1.311,
2009-10,1.278,
2010-01,1.271,
2010-04,1.073,
2010-07,1.129,
2010-10,1.173,
2011-01,1.163,
2011-04,1.157,
2011-07,1.148,
2011-10,1.175,
2012-01,1.221,
2012-04,0.912,
2012-07,1.021,
2012-10,1.066,
2013-01,1.095,
2013-04,1.060,
2013-07,1.065,
2013-10,1.061,
2014-01,1.092,
2014-04,1.039,
2014-07,1.038,
