"",BBFB1.M.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Primary income / Balance (Credits minus Debits) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:18,
1991-01,1.85,
1991-02,1.87,
1991-03,1.33,
1991-04,1.40,
1991-05,1.54,
1991-06,0.39,
1991-07,1.19,
1991-08,1.49,
1991-09,1.46,
1991-10,1.22,
1991-11,1.17,
1991-12,0.85,
1992-01,1.48,
1992-02,1.51,
1992-03,1.05,
1992-04,1.30,
1992-05,1.40,
1992-06,1.00,
1992-07,1.34,
1992-08,1.60,
1992-09,1.09,
1992-10,1.23,
1992-11,0.88,
1992-12,1.15,
1993-01,0.89,
1993-02,0.92,
1993-03,0.94,
1993-04,0.79,
1993-05,0.72,
1993-06,1.17,
1993-07,0.87,
1993-08,0.65,
1993-09,0.59,
1993-10,0.60,
1993-11,0.60,
1993-12,0.91,
1994-01,0.03,
1994-02,-0.12,
1994-03,0.25,
1994-04,0.10,
1994-05,-0.25,
1994-06,0.19,
1994-07,-0.11,
1994-08,-0.05,
1994-09,-0.09,
1994-10,1.26,
1994-11,-0.36,
1994-12,-0.43,
1995-01,-0.13,
1995-02,-0.14,
1995-03,-0.14,
1995-04,-0.04,
1995-05,-0.10,
1995-06,-0.15,
1995-07,-0.20,
1995-08,-0.44,
1995-09,-0.13,
1995-10,-0.46,
1995-11,-0.94,
1995-12,-0.14,
1996-01,0.30,
1996-02,0.25,
1996-03,0.69,
1996-04,0.02,
1996-05,-0.01,
1996-06,-0.27,
1996-07,-1.24,
1996-08,-0.18,
1996-09,-0.74,
1996-10,0.01,
1996-11,0.05,
1996-12,0.43,
1997-01,-0.46,
1997-02,0.00,
1997-03,-0.32,
1997-04,-0.18,
1997-05,-0.83,
1997-06,-0.74,
1997-07,-0.63,
1997-08,-0.05,
1997-09,-0.35,
1997-10,-0.67,
1997-11,-0.56,
1997-12,0.24,
1998-01,-0.12,
1998-02,-0.92,
1998-03,-0.72,
1998-04,-0.93,
1998-05,-0.98,
1998-06,-1.92,
1998-07,-1.57,
1998-08,-0.84,
1998-09,-0.79,
1998-10,-1.79,
1998-11,-0.73,
1998-12,-0.92,
1999-01,-1.85,
1999-02,-2.12,
1999-03,-1.27,
1999-04,0.26,
1999-05,-1.81,
1999-06,-1.09,
1999-07,-1.25,
1999-08,-1.49,
1999-09,-1.74,
1999-10,-1.54,
1999-11,-1.31,
1999-12,-2.37,
2000-01,-0.75,
