"",BBSF2.M.1.S.00000.IMM01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Loans received,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:51,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,5,
1993-05,5,
1993-06,5,
1993-07,5,
1993-08,5,
1993-09,5,
1993-10,5,
1993-11,5,
1993-12,338,
1994-01,338,
1994-02,338,
1994-03,338,
1994-04,107,
1994-05,107,
1994-06,107,
1994-07,107,
1994-08,107,
1994-09,107,
1994-10,107,
1994-11,107,
1994-12,107,
1995-01,107,
1995-02,107,
1995-03,107,
1995-04,107,
1995-05,107,
1995-06,112,
1995-07,116,
1995-08,126,
1995-09,126,
1995-10,137,
1995-11,137,
1995-12,141,
1996-01,151,
1996-02,151,
1996-03,151,
1996-04,161,
1996-05,161,
1996-06,161,
1996-07,171,
1996-08,171,
1996-09,171,
1996-10,182,
1996-11,227,
1996-12,226,
1997-01,226,
1997-02,237,
1997-03,237,
1997-04,49,
1997-05,49,
1997-06,49,
1997-07,49,
1997-08,54,
1997-09,67,
1997-10,93,
1997-11,99,
1997-12,106,
1998-01,174,
1998-02,175,
1998-03,180,
1998-04,194,
1998-05,196,
1998-06,217,
1998-07,229,
1998-08,257,
1998-09,258,
1998-10,258,
1998-11,268,
1998-12,335,
1999-01,403,
1999-02,405,
1999-03,408,
1999-04,414,
1999-05,417,
1999-06,417,
1999-07,428,
1999-08,440,
1999-09,469,
1999-10,504,
1999-11,647,
1999-12,927,
2000-01,985,
2000-02,995,
2000-03,997,
2000-04,1077,
2000-05,1085,
2000-06,1120,
2000-07,1233,
2000-08,1247,
2000-09,1284,
2000-10,1323,
2000-11,1405,
2000-12,1548,
2001-01,1490,
2001-02,1491,
2001-03,1471,
2001-04,1545,
2001-05,1552,
2001-06,1683,
2001-07,1688,
2001-08,1776,
2001-09,2001,
2001-10,2074,
2001-11,2168,
2001-12,2278,
2002-01,2316,
2002-02,2363,
2002-03,2465,
2002-04,2568,
2002-05,2709,
2002-06,2792,
2002-07,2921,
2002-08,3054,
2002-09,3170,
2002-10,3268,
2002-11,3365,
2002-12,3646,
2003-01,3704,
2003-02,3675,
2003-03,3809,
2003-04,3920,
2003-05,3997,
2003-06,4246,
2003-07,4411,
2003-08,4504,
2003-09,4603,
2003-10,4694,
2003-11,4717,
2003-12,4931,
2004-01,5035,
2004-02,5146,
2004-03,5233,
2004-04,5310,
2004-05,5362,
2004-06,5463,
2004-07,5571,
2004-08,5608,
2004-09,5677,
2004-10,5675,
2004-11,5769,
2004-12,5595,
2005-01,5698,
2005-02,5798,
2005-03,5846,
2005-04,5931,
2005-05,6007,
2005-06,6080,
2005-07,6114,
2005-08,6151,
2005-09,6324,
2005-10,6257,
2005-11,6293,
2005-12,6421,
2006-01,6486,
2006-02,6510,
2006-03,6453,
2006-04,6459,
2006-05,6537,
2006-06,6581,
2006-07,6629,
2006-08,6704,
2006-09,6757,
2006-10,6742,
2006-11,6734,
2006-12,7021,
2007-01,6997,
2007-02,6942,
2007-03,7125,
2007-04,7180,
2007-05,7326,
2007-06,7334,
2007-07,7350,
2007-08,7352,
2007-09,7413,
2007-10,7323,
2007-11,7284,
2007-12,7314,
2008-01,7365,
2008-02,7380,
2008-03,7385,
2008-04,7443,
2008-05,7523,
2008-06,7609,
2008-07,7628,
2008-08,7660,
2008-09,7741,
2008-10,7745,
2008-11,8090,
2008-12,8175,
2009-01,8274,
2009-02,8320,
2009-03,8299,
2009-04,8457,
2009-05,8644,
2009-06,8736,
2009-07,8861,
2009-08,8907,
2009-09,8960,
2009-10,9133,
2009-11,9168,
2009-12,9107,
2010-01,9267,
2010-02,9348,
2010-03,9373,
2010-04,9486,
2010-05,9496,
2010-06,9606,
2010-07,9610,
2010-08,9646,
2010-09,9662,
2010-10,9833,
2010-11,9960,
2010-12,10240,
2011-01,10272,
2011-02,10386,
2011-03,10373,
2011-04,10396,
2011-05,10649,
2011-06,10605,
2011-07,10660,
2011-08,10750,
2011-09,10809,
2011-10,10810,
2011-11,11018,
2011-12,11188,
2012-01,11142,
2012-02,11281,
2012-03,11337,
2012-04,11404,
2012-05,11479,
2012-06,11577,
2012-07,11743,
2012-08,11857,
2012-09,11898,
2012-10,12029,
2012-11,12047,
2012-12,12341,
2013-01,12219,
2013-02,12371,
2013-03,12523,
2013-04,12566,
2013-05,12623,
2013-06,12648,
2013-07,12855,
2013-08,12991,
2013-09,13094,
2013-10,13219,
2013-11,13547,
2013-12,14015,
2014-01,14091,
2014-02,14159,
2014-03,14715,
2014-04,14836,
2014-05,14856,
2014-06,14948,
2014-07,15215,
2014-08,15358,
2014-09,15336,
2014-10,15287,
2014-11,15664,
