"",BBK01.OEAD18K,BBK01.OEAD18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:38,
2002-01,0.484,
2002-04,0.393,
2002-07,0.397,
2002-10,0.327,
2003-01,0.294,
2003-04,0.266,
2003-07,0.194,
2003-10,0.291,
2004-01,0.233,
2004-04,0.201,
2004-07,0.243,
2004-10,0.207,
2005-01,0.251,
2005-04,0.181,
2005-07,0.141,
2005-10,0.138,
2006-01,0.167,
2006-04,0.183,
2006-07,0.161,
2006-10,0.155,
2007-01,0.173,
2007-04,0.147,
2007-07,0.175,
2007-10,0.183,
2008-01,0.242,
2008-04,0.226,
2008-07,0.201,
2008-10,0.144,
2009-01,0.125,
2009-04,0.099,
2009-07,0.100,
2009-10,0.079,
2010-01,0.065,
2010-04,0.075,
2010-07,0.123,
2010-10,0.124,
2011-01,0.136,
2011-04,0.142,
2011-07,0.130,
2011-10,0.111,
2012-01,0.129,
2012-04,0.141,
2012-07,0.128,
2012-10,0.125,
2013-01,0.106,
2013-04,0.138,
2013-07,0.114,
2013-10,0.129,
2014-01,0.140,
2014-04,0.138,
2014-07,0.141,
