"",BBK01.OEAJ06L,BBK01.OEAJ06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:31,
2002-01,2.164,
2002-04,2.109,
2002-07,2.015,
2002-10,1.983,
2003-01,2.197,
2003-04,2.120,
2003-07,2.032,
2003-10,1.972,
2004-01,1.983,
2004-04,2.041,
2004-07,2.054,
2004-10,2.070,
2005-01,2.069,
2005-04,2.104,
2005-07,2.083,
2005-10,2.004,
2006-01,2.029,
2006-04,1.979,
2006-07,2.000,
2006-10,1.906,
2007-01,1.828,
2007-04,1.702,
2007-07,1.566,
2007-10,1.587,
2008-01,1.538,
2008-04,1.521,
2008-07,1.484,
2008-10,1.462,
2009-01,1.409,
2009-04,1.414,
2009-07,1.386,
2009-10,1.335,
2010-01,1.294,
2010-04,1.257,
2010-07,1.229,
2010-10,1.279,
2011-01,1.193,
2011-04,1.179,
2011-07,1.190,
2011-10,1.137,
2012-01,1.085,
2012-04,1.086,
2012-07,1.076,
2012-10,1.167,
2013-01,1.155,
2013-04,1.003,
2013-07,0.981,
2013-10,0.992,
2014-01,0.985,
2014-04,1.030,
2014-07,1.106,
