"",BBK01.OEAF08G,BBK01.OEAF08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:44,
2002-01,1.820,
2002-04,1.850,
2002-07,1.861,
2002-10,1.851,
2003-01,1.842,
2003-04,1.911,
2003-07,1.836,
2003-10,1.864,
2004-01,1.897,
2004-04,1.849,
2004-07,1.823,
2004-10,1.825,
2005-01,1.714,
2005-04,1.722,
2005-07,1.710,
2005-10,1.721,
2006-01,1.606,
2006-04,1.607,
2006-07,1.654,
2006-10,1.658,
2007-01,1.654,
2007-04,1.605,
2007-07,1.618,
2007-10,1.581,
2008-01,1.623,
2008-04,1.676,
2008-07,1.690,
2008-10,1.691,
2009-01,1.699,
2009-04,1.702,
2009-07,1.700,
2009-10,1.658,
2010-01,1.629,
2010-04,1.633,
2010-07,1.643,
2010-10,1.672,
2011-01,1.679,
2011-04,1.698,
2011-07,1.721,
2011-10,1.748,
2012-01,1.752,
2012-04,1.760,
2012-07,1.766,
2012-10,1.835,
2013-01,1.820,
2013-04,1.798,
2013-07,1.767,
2013-10,1.796,
2014-01,1.773,
2014-04,1.684,
2014-07,1.587,
