"",BBFN1.M.DE.N.1.A.G9.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.G9.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:18,
1995-01,4.020,
1995-02,3.792,
1995-03,3.643,
1995-04,3.734,
1995-05,3.772,
1995-06,3.377,
1995-07,3.782,
1995-08,3.764,
1995-09,3.687,
1995-10,3.548,
1995-11,3.481,
1995-12,3.741,
1996-01,4.163,
1996-02,3.956,
1996-03,4.876,
1996-04,4.420,
1996-05,4.097,
1996-06,4.241,
1996-07,3.785,
1996-08,3.414,
1996-09,3.621,
1996-10,3.823,
1996-11,3.600,
1996-12,3.477,
1997-01,4.084,
1997-02,4.340,
1997-03,4.847,
1997-04,4.553,
1997-05,4.444,
1997-06,4.778,
1997-07,4.886,
1997-08,5.224,
1997-09,5.106,
1997-10,5.356,
1997-11,5.412,
1997-12,5.001,
1998-01,4.993,
1998-02,5.113,
1998-03,5.213,
1998-04,5.866,
1998-05,6.281,
1998-06,5.823,
1998-07,6.286,
1998-08,6.725,
1998-09,6.565,
1998-10,7.042,
1998-11,7.233,
1998-12,8.012,
1999-01,7.540,
1999-02,7.767,
1999-03,8.223,
1999-04,8.101,
1999-05,8.188,
1999-06,8.065,
1999-07,8.887,
1999-08,9.174,
1999-09,9.149,
1999-10,9.017,
1999-11,8.731,
1999-12,8.961,
2000-01,9.463,
2000-02,9.433,
2000-03,9.595,
2000-04,8.897,
2000-05,8.856,
2000-06,9.411,
2000-07,9.038,
2000-08,9.604,
2000-09,9.922,
2000-10,9.959,
2000-11,9.824,
2000-12,8.554,
2001-01,9.112,
2001-02,9.191,
2001-03,9.340,
2001-04,9.647,
2001-05,9.699,
2001-06,9.640,
2001-07,9.446,
2001-08,9.074,
2001-09,9.591,
2001-10,9.899,
2001-11,10.884,
2001-12,11.133,
2002-01,10.137,
2002-02,9.830,
2002-03,9.622,
2002-04,10.261,
2002-05,10.526,
2002-06,10.593,
2002-07,10.707,
2002-08,10.716,
2002-09,10.665,
2002-10,10.899,
2002-11,10.583,
2002-12,10.303,
2003-01,11.482,
2003-02,11.386,
2003-03,12.921,
2003-04,12.624,
2003-05,12.788,
2003-06,12.986,
2003-07,12.685,
2003-08,12.072,
2003-09,12.081,
2003-10,12.238,
2003-11,13.208,
2003-12,12.704,
2004-01,13.076,
2004-02,14.747,
2004-03,15.143,
2004-04,15.201,
2004-05,12.208,
2004-06,12.806,
2004-07,13.192,
2004-08,11.620,
2004-09,11.855,
2004-10,11.678,
2004-11,11.938,
2004-12,10.565,
2005-01,10.558,
2005-02,9.975,
2005-03,10.550,
2005-04,10.744,
2005-05,10.716,
2005-06,10.483,
2005-07,10.267,
2005-08,10.531,
2005-09,11.585,
2005-10,12.729,
2005-11,14.144,
2005-12,13.433,
2006-01,12.825,
2006-02,13.053,
2006-03,11.976,
2006-04,13.207,
2006-05,12.697,
2006-06,11.956,
2006-07,13.215,
2006-08,12.617,
2006-09,13.537,
2006-10,13.574,
2006-11,13.585,
2006-12,13.341,
2007-01,12.978,
2007-02,13.426,
2007-03,14.554,
2007-04,12.785,
2007-05,13.689,
2007-06,12.793,
2007-07,13.317,
2007-08,12.637,
2007-09,13.300,
2007-10,13.384,
2007-11,13.223,
2007-12,13.244,
2008-01,13.578,
2008-02,13.182,
2008-03,13.136,
2008-04,13.556,
2008-05,14.090,
2008-06,13.818,
2008-07,14.703,
2008-08,13.671,
2008-09,14.567,
2008-10,14.641,
2008-11,14.669,
2008-12,14.583,
2009-01,13.321,
2009-02,13.731,
2009-03,13.826,
2009-04,14.759,
2009-05,15.302,
2009-06,15.663,
2009-07,14.727,
2009-08,14.499,
2009-09,14.503,
2009-10,14.743,
2009-11,14.895,
2009-12,14.515,
2010-01,14.741,
2010-02,15.146,
2010-03,15.494,
2010-04,16.303,
2010-05,16.055,
2010-06,17.480,
2010-07,17.053,
2010-08,16.423,
2010-09,17.105,
2010-10,17.839,
2010-11,17.793,
2010-12,17.590,
2011-01,17.916,
2011-02,16.710,
2011-03,17.737,
2011-04,17.963,
2011-05,18.258,
2011-06,17.440,
2011-07,17.686,
2011-08,22.223,
2011-09,23.898,
2011-10,25.129,
2011-11,24.789,
2011-12,20.833,
2012-01,20.999,
2012-02,22.546,
2012-03,24.460,
2012-04,25.117,
2012-05,27.364,
2012-06,29.087,
2012-07,29.557,
2012-08,30.347,
2012-09,30.101,
2012-10,28.978,
2012-11,28.998,
2012-12,3.464,
2013-01,3.231,
2013-02,3.082,
2013-03,3.277,
2013-04,3.410,
2013-05,3.544,
2013-06,3.570,
2013-07,3.248,
2013-08,2.967,
2013-09,2.961,
2013-10,3.091,
2013-11,2.992,
2013-12,2.959,
2014-01,3.016,
2014-02,3.060,
2014-03,3.122,
2014-04,2.980,
2014-05,3.111,
2014-06,3.128,
2014-07,3.444,
2014-08,3.016,
2014-09,2.950,
2014-10,3.174,
2014-11,2.648,
2014-12,2.382,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
