"",BBK01.OELO05K,BBK01.OELO05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:41,
2002-01,0.006,
2002-04,0.008,
2002-07,0.006,
2002-10,0.041,
2003-01,0.026,
2003-04,0.003,
2003-07,0.003,
2003-10,0.042,
2004-01,0.003,
2004-04,0.003,
2004-07,0.003,
2004-10,0.043,
2005-01,0.003,
2005-04,0.003,
2005-07,0.005,
2005-10,0.038,
2006-01,0.003,
2006-04,0.003,
2006-07,0.003,
2006-10,0.043,
2007-01,0.003,
2007-04,0.005,
2007-07,0.006,
2007-10,0.044,
2008-01,0.003,
2008-04,0.004,
2008-07,0.007,
2008-10,0.048,
2009-01,0.003,
2009-04,0.004,
2009-07,0.003,
2009-10,0.034,
2010-01,0.001,
2010-04,0.001,
2010-07,0.001,
2010-10,0.032,
2011-01,-,Nothing exists
2011-04,0.002,
2011-07,0.003,
2011-10,0.029,
2012-01,-,Nothing exists
2012-04,0.002,
2012-07,0.003,
2012-10,0.023,
2013-01,0.001,
2013-04,0.002,
2013-07,0.003,
2013-10,0.022,
2014-01,0.002,
2014-04,0.003,
2014-07,0.003,
