"",BBK01.OEAA05J,BBK01.OEAA05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:30,
2002-01,22.962,
2002-04,22.629,
2002-07,23.300,
2002-10,23.385,
2003-01,23.200,
2003-04,23.003,
2003-07,22.974,
2003-10,22.783,
2004-01,23.240,
2004-04,23.871,
2004-07,23.875,
2004-10,23.522,
2005-01,25.440,
2005-04,26.112,
2005-07,26.658,
2005-10,27.183,
2006-01,27.347,
2006-04,27.412,
2006-07,27.760,
2006-10,25.182,
2007-01,25.034,
2007-04,25.600,
2007-07,25.910,
2007-10,25.835,
2008-01,25.866,
2008-04,26.572,
2008-07,27.134,
2008-10,27.593,
2009-01,27.462,
2009-04,27.325,
2009-07,26.271,
2009-10,26.362,
2010-01,26.539,
2010-04,32.010,
2010-07,30.525,
2010-10,30.063,
2011-01,29.324,
2011-04,29.022,
2011-07,29.463,
2011-10,29.789,
2012-01,28.115,
2012-04,29.689,
2012-07,29.046,
2012-10,23.399,
2013-01,23.508,
2013-04,23.371,
2013-07,23.655,
2013-10,23.526,
2014-01,23.297,
2014-04,23.243,
2014-07,23.295,
