"",BBK01.OEHI08M,BBK01.OEHI08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:10,
2002-01,21.106,
2002-04,21.070,
2002-07,21.097,
2002-10,21.616,
2003-01,21.821,
2003-04,21.925,
2003-07,22.022,
2003-10,22.586,
2004-01,22.799,
2004-04,22.800,
2004-07,22.345,
2004-10,23.050,
2005-01,22.949,
2005-04,22.779,
2005-07,22.644,
2005-10,22.818,
2006-01,22.476,
2006-04,22.037,
2006-07,21.427,
2006-10,21.113,
2007-01,20.252,
2007-04,19.702,
2007-07,19.151,
2007-10,19.111,
2008-01,18.761,
2008-04,18.476,
2008-07,18.095,
2008-10,18.492,
2009-01,18.879,
2009-04,18.923,
2009-07,18.522,
2009-10,18.670,
2010-01,18.789,
2010-04,19.120,
2010-07,19.306,
2010-10,19.967,
2011-01,20.185,
2011-04,20.232,
2011-07,20.153,
2011-10,20.443,
2012-01,20.503,
2012-04,20.401,
2012-07,20.297,
2012-10,20.406,
2013-01,20.476,
2013-04,20.623,
2013-07,20.697,
2013-10,21.017,
2014-01,21.171,
2014-04,21.165,
2014-07,21.079,
