"",BBK01.OEXL07J,BBK01.OEXL07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:27,
2002-01,0.530,
2002-04,0.508,
2002-07,0.493,
2002-10,0.490,
2003-01,0.476,
2003-04,0.462,
2003-07,0.453,
2003-10,0.442,
2004-01,0.418,
2004-04,0.400,
2004-07,0.384,
2004-10,0.386,
2005-01,0.391,
2005-04,0.392,
2005-07,0.376,
2005-10,0.380,
2006-01,0.378,
2006-04,0.377,
2006-07,0.370,
2006-10,0.382,
2007-01,0.399,
2007-04,0.407,
2007-07,0.415,
2007-10,0.434,
2008-01,0.441,
2008-04,0.432,
2008-07,0.430,
2008-10,0.518,
2009-01,0.544,
2009-04,0.553,
2009-07,0.594,
2009-10,0.579,
2010-01,0.536,
2010-04,0.534,
2010-07,0.522,
2010-10,0.563,
2011-01,0.605,
2011-04,0.598,
2011-07,0.594,
2011-10,0.588,
2012-01,0.542,
2012-04,0.537,
2012-07,0.505,
2012-10,0.482,
2013-01,0.441,
2013-04,0.415,
2013-07,0.406,
2013-10,0.406,
2014-01,0.402,
2014-04,0.393,
2014-07,0.404,
