"",BBK01.OEAC53L,BBK01.OEAC53L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:20,
2002-01,2.322,
2002-04,2.723,
2002-07,2.593,
2002-10,2.859,
2003-01,2.986,
2003-04,3.193,
2003-07,3.417,
2003-10,3.733,
2004-01,4.204,
2004-04,4.154,
2004-07,7.324,
2004-10,7.271,
2005-01,7.260,
2005-04,7.561,
2005-07,7.699,
2005-10,8.644,
2006-01,9.165,
2006-04,8.895,
2006-07,7.810,
2006-10,5.235,
2007-01,5.121,
2007-04,5.412,
2007-07,5.725,
2007-10,6.991,
2008-01,7.087,
2008-04,7.455,
2008-07,8.412,
2008-10,8.938,
2009-01,8.117,
2009-04,8.066,
2009-07,7.843,
2009-10,7.902,
2010-01,7.563,
2010-04,7.667,
2010-07,10.116,
2010-10,9.669,
2011-01,9.426,
2011-04,9.288,
2011-07,9.353,
2011-10,9.109,
2012-01,9.115,
2012-04,8.813,
2012-07,8.833,
2012-10,5.856,
2013-01,5.632,
2013-04,6.153,
2013-07,5.815,
2013-10,5.529,
2014-01,5.509,
2014-04,5.456,
2014-07,5.348,
