"",BBK01.OEYB11Q,BBK01.OEYB11Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:09,
2002-01,2.068,
2002-04,2.207,
2002-07,2.324,
2002-10,2.165,
2003-01,2.060,
2003-04,2.169,
2003-07,2.144,
2003-10,2.309,
2004-01,1.937,
2004-04,1.962,
2004-07,1.826,
2004-10,1.956,
2005-01,2.119,
2005-04,2.048,
2005-07,2.027,
2005-10,2.129,
2006-01,2.082,
2006-04,2.008,
2006-07,2.019,
2006-10,2.197,
2007-01,2.333,
2007-04,2.213,
2007-07,2.617,
2007-10,2.309,
2008-01,1.598,
2008-04,1.571,
2008-07,1.699,
2008-10,1.753,
2009-01,1.645,
2009-04,1.671,
2009-07,1.959,
2009-10,3.027,
2010-01,2.886,
2010-04,2.634,
2010-07,1.780,
2010-10,1.432,
2011-01,1.675,
2011-04,1.521,
2011-07,0.543,
2011-10,0.532,
2012-01,0.584,
2012-04,0.584,
2012-07,0.563,
2012-10,1.208,
2013-01,1.100,
2013-04,0.988,
2013-07,0.893,
2013-10,1.404,
2014-01,1.293,
2014-04,1.251,
2014-07,1.275,
