"",BBK01.OEBL04J,BBK01.OEBL04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:20,
2002-01,0.407,
2002-04,0.369,
2002-07,0.352,
2002-10,0.343,
2003-01,0.296,
2003-04,0.273,
2003-07,0.249,
2003-10,0.238,
2004-01,0.216,
2004-04,0.193,
2004-07,0.186,
2004-10,0.171,
2005-01,0.180,
2005-04,0.175,
2005-07,0.204,
2005-10,0.217,
2006-01,0.237,
2006-04,0.239,
2006-07,0.271,
2006-10,0.320,
2007-01,0.339,
2007-04,0.373,
2007-07,0.425,
2007-10,0.540,
2008-01,0.579,
2008-04,0.620,
2008-07,0.730,
2008-10,0.770,
2009-01,0.605,
2009-04,0.511,
2009-07,0.371,
2009-10,0.309,
2010-01,0.285,
2010-04,0.261,
2010-07,0.220,
2010-10,0.204,
2011-01,0.205,
2011-04,0.214,
2011-07,0.221,
2011-10,0.230,
2012-01,0.230,
2012-04,0.213,
2012-07,0.190,
2012-10,0.152,
2013-01,0.135,
2013-04,0.124,
2013-07,0.119,
2013-10,0.111,
2014-01,0.099,
2014-04,0.103,
2014-07,0.091,
