"",BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:54,
1991-01,0.155,
1991-04,0.155,
1991-07,-0.343,
1991-10,-0.907,
1992-01,8.571,
1992-04,8.731,
1992-07,8.708,
1992-10,8.731,
1993-01,-0.520,
1993-04,-0.520,
1993-07,-0.520,
1993-10,-0.520,
1994-01,1.322,
1994-04,1.285,
1994-07,1.322,
1994-10,1.322,
1995-01,0.512,
1995-04,0.512,
1995-07,0.505,
1995-10,0.512,
1996-01,4.414,
1996-04,4.414,
1996-07,4.414,
1996-10,4.414,
1997-01,1.280,
1997-04,2.043,
1997-07,2.043,
1997-10,1.941,
1998-01,-0.049,
1998-04,-,Nothing exists
1998-07,-0.305,
1998-10,-,Nothing exists
1999-01,-3.018,
1999-04,-3.000,
1999-07,-4.000,
1999-10,-6.868,
2000-01,-30.000,
2000-04,-30.064,
2000-07,-29.000,
2000-10,-27.051,
2001-01,-2.121,
2001-04,-34.836,
2001-07,-15.956,
2001-10,-3.412,
2002-01,-5.616,
2002-04,-10.256,
2002-07,-12.358,
2002-10,-18.702,
2003-01,2.478,
2003-04,-0.345,
2003-07,6.209,
2003-10,7.318,
2004-01,25.928,
2004-04,15.474,
2004-07,32.744,
2004-10,21.105,
2005-01,38.365,
2005-04,28.380,
2005-07,47.763,
2005-10,40.793,
2006-01,34.520,
2006-04,19.111,
2006-07,40.301,
2006-10,-39.936,
2007-01,-0.108,
2007-04,21.073,
2007-07,18.030,
2007-10,-5.835,
2008-01,103.922,
2008-04,42.363,
2008-07,18.080,
2008-10,53.692,
2009-01,9.177,
2009-04,44.103,
2009-07,44.965,
2009-10,36.754,
2010-01,93.935,
2010-04,90.607,
2010-07,96.767,
2010-10,112.363,
2011-01,26.911,
2011-04,42.447,
2011-07,101.224,
2011-10,82.285,
2012-01,27.771,
2012-04,-2.670,
2012-07,92.031,
2012-10,73.876,
2013-01,-24.794,
2013-04,-87.577,
2013-07,6.361,
2013-10,-24.199,
2014-01,-45.798,Provisional value
2014-04,-56.201,Provisional value
2014-07,-61.852,Provisional value
2014-10,-49.578,Provisional value
