"",BBK01.TZ1388O,BBK01.TZ1388O_FLAGS
"","Credit to financial corporations (from June 2010, excluding reverse repos to central counterparties) / Loans / All maturities / Domestic / Financial transactions (flows) / Seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:29,
2003-01,2.0,
2003-02,1.4,
2003-03,3.9,
2003-04,-2.0,
2003-05,0.2,
2003-06,2.0,
2003-07,-3.1,
2003-08,-1.1,
2003-09,7.3,
2003-10,0.0,
2003-11,1.8,
2003-12,2.9,
2004-01,-1.5,
2004-02,-0.5,
2004-03,-0.7,
2004-04,0.9,
2004-05,0.1,
2004-06,-2.9,
2004-07,0.1,
2004-08,-2.7,
2004-09,3.5,
2004-10,0.2,
2004-11,6.6,
2004-12,2.6,
2005-01,-1.3,
2005-02,3.2,
2005-03,-1.2,
2005-04,0.7,
2005-05,2.4,
2005-06,2.8,
2005-07,2.7,
2005-08,4.9,
2005-09,-0.2,
2005-10,8.0,
2005-11,-3.9,
2005-12,-4.7,
2006-01,7.0,
2006-02,2.1,
2006-03,4.2,
2006-04,2.1,
2006-05,1.1,
2006-06,-1.8,
2006-07,-8.1,
2006-08,6.9,
2006-09,7.0,
2006-10,-5.6,
2006-11,-5.1,
2006-12,-7.9,
2007-01,6.0,
2007-02,2.5,
2007-03,3.3,
2007-04,-1.7,
2007-05,-4.3,
2007-06,7.7,
2007-07,2.2,
2007-08,1.3,
2007-09,-0.3,
2007-10,3.5,
2007-11,-4.9,
2007-12,7.2,
2008-01,4.5,
2008-02,1.0,
2008-03,4.2,
2008-04,2.0,
2008-05,1.7,
2008-06,3.6,
2008-07,8.0,
2008-08,-2.7,
2008-09,3.5,
2008-10,-7.6,
2008-11,2.4,
2008-12,4.0,
2009-01,10.7,
2009-02,-7.1,
2009-03,17.7,
2009-04,2.4,
2009-05,0.6,
2009-06,10.6,
2009-07,-13.1,
2009-08,-11.1,
2009-09,14.1,
2009-10,-3.6,
2009-11,3.4,
2009-12,5.8,
2010-01,-12.5,
2010-02,-5.5,
2010-03,0.6,
2010-04,11.9,
2010-05,-5.2,
2010-06,1.2,
2010-07,1.4,
2010-08,-2.1,
2010-09,-3.2,
2010-10,0.7,
2010-11,0.3,
2010-12,3.6,
2011-01,-4.4,
2011-02,0.7,
2011-03,-1.4,
2011-04,-1.2,
2011-05,-0.5,
2011-06,0.8,
2011-07,0.4,
2011-08,2.1,
2011-09,0.5,
2011-10,2.6,
2011-11,-0.6,
2011-12,0.0,
2012-01,3.7,
2012-02,-3.1,
2012-03,-1.3,
2012-04,-2.8,
2012-05,0.0,
2012-06,2.3,
2012-07,-0.5,
2012-08,1.2,
2012-09,-0.5,
2012-10,0.4,
2012-11,-0.7,
2012-12,2.4,
2013-01,-2.0,
2013-02,-1.3,
2013-03,0.5,
2013-04,-0.2,
2013-05,0.1,
2013-06,0.5,
2013-07,-1.5,
2013-08,0.5,
2013-09,-0.3,
2013-10,0.6,
2013-11,-1.2,
2013-12,-0.8,
2014-01,0.8,
2014-02,1.2,
2014-03,0.4,
2014-04,0.1,
2014-05,0.2,
2014-06,-0.9,
2014-07,0.5,
2014-08,-0.1,
2014-09,3.1,
2014-10,-3.0,
2014-11,2.1,
2014-12,-1.0,Provisional value
2015-01,1.1,
