"",BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:53,
1991-01,34.867,
1991-04,-30.307,
1991-07,26.058,
1991-10,17.832,
1992-01,30.980,
1992-04,2.101,
1992-07,20.368,
1992-10,55.238,
1993-01,-8.363,
1993-04,1.055,
1993-07,-37.053,
1993-10,-0.790,
1994-01,19.467,
1994-04,16.524,
1994-07,-29.633,
1994-10,17.313,
1995-01,-0.348,
1995-04,21.603,
1995-07,33.537,
1995-10,66.806,
1996-01,-0.972,
1996-04,44.527,
1996-07,88.838,
1996-10,-6.968,
1997-01,76.438,
1997-04,67.285,
1997-07,21.484,
1997-10,25.604,
1998-01,60.470,
1998-04,49.239,
1998-07,118.436,
1998-10,29.560,
1999-01,95.904,
1999-04,52.846,
1999-07,39.168,
1999-10,170.572,
2000-01,67.312,
2000-04,119.841,
2000-07,150.123,
2000-10,136.198,
2001-01,-10.639,
2001-04,143.564,
2001-07,137.761,
2001-10,9.025,
2002-01,135.487,
2002-04,78.574,
2002-07,-45.191,
2002-10,-11.524,
2003-01,-71.284,
2003-04,11.809,
2003-07,-70.932,
2003-10,-23.567,
2004-01,61.630,
2004-04,91.044,
2004-07,96.862,
2004-10,35.167,
2005-01,90.836,
2005-04,35.402,
2005-07,-180.460,
2005-10,86.077,
2006-01,142.486,
2006-04,-27.147,
2006-07,-23.356,
2006-10,89.221,
2007-01,194.898,
2007-04,-140.648,
2007-07,-3.954,
2007-10,159.132,
2008-01,197.232,
2008-04,-63.947,
2008-07,405.265,
2008-10,45.811,
2009-01,55.094,
2009-04,42.189,
2009-07,165.788,
2009-10,515.646,
2010-01,147.849,
2010-04,294.971,
2010-07,67.369,
2010-10,438.362,
2011-01,82.854,
2011-04,134.931,
2011-07,289.353,
2011-10,223.047,
2012-01,614.370,
2012-04,-152.013,
2012-07,98.256,
2012-10,476.342,
2013-01,142.001,
2013-04,143.027,
2013-07,-149.024,
2013-10,164.442,
2014-01,158.031,Provisional value
2014-04,254.375,Provisional value
2014-07,-138.368,Provisional value
2014-10,397.389,Provisional value
