"",BBK01.OELB20R,BBK01.OELB20R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:12,
2002-01,0.681,
2002-04,0.680,
2002-07,0.692,
2002-10,0.735,
2003-01,0.725,
2003-04,0.727,
2003-07,0.740,
2003-10,0.749,
2004-01,0.739,
2004-04,0.741,
2004-07,0.756,
2004-10,0.747,
2005-01,0.741,
2005-04,0.741,
2005-07,0.753,
2005-10,0.762,
2006-01,0.757,
2006-04,0.806,
2006-07,0.810,
2006-10,0.813,
2007-01,0.807,
2007-04,0.796,
2007-07,0.798,
2007-10,0.802,
2008-01,0.799,
2008-04,0.797,
2008-07,0.814,
2008-10,0.810,
2009-01,0.814,
2009-04,0.808,
2009-07,0.795,
2009-10,0.792,
2010-01,0.788,
2010-04,0.789,
2010-07,0.801,
2010-10,0.802,
2011-01,0.797,
2011-04,0.805,
2011-07,0.816,
2011-10,0.827,
2012-01,0.833,
2012-04,0.916,
2012-07,0.929,
2012-10,0.940,
2013-01,0.939,
2013-04,0.982,
2013-07,1.001,
2013-10,0.999,
2014-01,0.995,
2014-04,1.012,
2014-07,1.035,
