"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F6._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F6._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Insurance and pension services / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:51,
1991-01,116.326,
1991-02,116.350,
1991-03,116.372,
1991-04,116.519,
1991-05,116.541,
1991-06,116.564,
1991-07,116.837,
1991-08,116.862,
1991-09,116.888,
1991-10,117.289,
1991-11,117.318,
1991-12,117.348,
1992-01,28.604,
1992-02,29.356,
1992-03,29.381,
1992-04,30.240,
1992-05,30.264,
1992-06,30.288,
1992-07,31.479,
1992-08,31.502,
1992-09,31.522,
1992-10,33.046,
1992-11,33.083,
1992-12,33.132,
1993-01,59.585,
1993-02,59.463,
1993-03,59.472,
1993-04,61.586,
1993-05,61.586,
1993-06,61.584,
1993-07,63.959,
1993-08,63.948,
1993-09,63.937,
1993-10,66.576,
1993-11,66.557,
1993-12,66.537,
1994-01,87.103,
1994-02,83.150,
1994-03,83.122,
1994-04,85.862,
1994-05,85.828,
1994-06,85.799,
1994-07,88.385,
1994-08,88.356,
1994-09,88.328,
1994-10,90.759,
1994-11,90.727,
1994-12,90.692,
1995-01,95.832,
1995-02,94.959,
1995-03,94.895,
1995-04,96.630,
1995-05,96.561,
1995-06,96.494,
1995-07,97.730,
1995-08,97.662,
1995-09,97.592,
1995-10,98.336,
1995-11,98.276,
1995-12,98.218,
1996-01,107.935,
1996-02,99.827,
1996-03,99.770,
1996-04,99.583,
1996-05,99.537,
1996-06,99.500,
1996-07,98.894,
1996-08,98.871,
1996-09,98.858,
1996-10,97.833,
1996-11,97.835,
1996-12,97.845,
1997-01,106.029,
1997-02,99.524,
1997-03,99.538,
1997-04,84.139,
1997-05,84.157,
1997-06,84.181,
1997-07,54.837,
1997-08,54.862,
1997-09,54.890,
1997-10,11.606,
1997-11,11.639,
1997-12,11.671,
1998-01,-32.537,
1998-02,-40.106,
1998-03,-40.080,
1998-04,-45.321,
1998-05,-45.295,
1998-06,-45.270,
1998-07,1.486,
1998-08,1.514,
1998-09,1.545,
1998-10,100.311,
1998-11,100.350,
1998-12,100.393,
1999-01,251.651,
1999-02,239.245,
1999-03,239.314,
1999-04,308.821,
1999-05,308.913,
1999-06,309.020,
1999-07,297.265,
1999-08,297.390,
1999-09,297.517,
1999-10,204.504,
1999-11,204.678,
1999-12,204.873,
2000-01,24.126,
2000-02,17.408,
2000-03,17.654,
2000-04,-31.851,
2000-05,-31.583,
2000-06,-31.309,
2000-07,43.921,
2000-08,44.203,
2000-09,44.499,
2000-10,244.473,
2000-11,244.802,
2000-12,245.148,
2001-01,642.703,
2001-02,621.000,
2001-03,621.388,
2001-04,737.084,
2001-05,737.456,
2001-06,737.812,
2001-07,644.428,
2001-08,644.778,
2001-09,645.127,
2001-10,342.677,
2001-11,343.012,
2001-12,343.323,
2002-01,-190.102,
2002-02,-206.435,
2002-03,-206.220,
2002-04,-474.639,
2002-05,-474.492,
2002-06,-474.335,
2002-07,-499.510,
2002-08,-499.364,
2002-09,-499.224,
2002-10,-281.156,
