"",BBK01.OECJ02U,BBK01.OECJ02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:22,
2002-01,0.467,
2002-04,0.486,
2002-07,0.581,
2002-10,0.604,
2003-01,0.486,
2003-04,0.478,
2003-07,0.479,
2003-10,0.559,
2004-01,0.547,
2004-04,0.563,
2004-07,0.570,
2004-10,0.579,
2005-01,0.588,
2005-04,0.589,
2005-07,0.599,
2005-10,0.696,
2006-01,0.610,
2006-04,0.538,
2006-07,0.590,
2006-10,0.632,
2007-01,0.548,
2007-04,0.566,
2007-07,0.580,
2007-10,0.718,
2008-01,0.686,
2008-04,0.600,
2008-07,0.655,
2008-10,0.676,
2009-01,0.613,
2009-04,0.668,
2009-07,0.727,
2009-10,0.738,
2010-01,0.721,
2010-04,0.679,
2010-07,0.719,
2010-10,0.759,
2011-01,0.720,
2011-04,0.752,
2011-07,0.821,
2011-10,1.027,
2012-01,0.850,
2012-04,0.776,
2012-07,0.791,
2012-10,0.878,
2013-01,0.777,
2013-04,0.759,
2013-07,0.843,
2013-10,0.921,
2014-01,0.795,
2014-04,0.827,
2014-07,0.922,
