"",BBK01.OEAH31T,BBK01.OEAH31T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:50,
2002-01,1.155,
2002-04,1.122,
2002-07,1.027,
2002-10,1.040,
2003-01,0.972,
2003-04,0.886,
2003-07,0.840,
2003-10,0.965,
2004-01,0.886,
2004-04,0.810,
2004-07,0.839,
2004-10,0.978,
2005-01,0.909,
2005-04,0.861,
2005-07,0.997,
2005-10,1.016,
2006-01,0.971,
2006-04,0.984,
2006-07,1.035,
2006-10,1.283,
2007-01,1.251,
2007-04,1.238,
2007-07,1.363,
2007-10,1.432,
2008-01,1.531,
2008-04,1.545,
2008-07,1.790,
2008-10,1.856,
2009-01,1.371,
2009-04,0.982,
2009-07,0.913,
2009-10,0.807,
2010-01,0.798,
2010-04,0.824,
2010-07,0.826,
2010-10,0.894,
2011-01,0.906,
2011-04,0.940,
2011-07,1.060,
2011-10,1.268,
2012-01,1.225,
2012-04,1.223,
2012-07,1.242,
2012-10,1.270,
2013-01,1.596,
2013-04,1.198,
2013-07,1.157,
2013-10,1.118,
2014-01,1.111,
2014-04,1.215,
2014-07,1.112,
