"",BBEX3.M.TMT.USD.CA.AC.A01,BBEX3.M.TMT.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Turkmenistan / USD 1 = TMT ... (middle),
unit,TMT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:23,
2009-01,2.8500,comment
2009-02,2.8500,
2009-03,2.8500,
2009-04,2.8500,
2009-05,2.8500,
2009-06,2.8500,
2009-07,2.8500,
2009-08,2.8500,
2009-09,2.8500,
2009-10,2.8500,
2009-11,2.8500,
2009-12,2.8500,
2010-01,2.8500,
2010-02,2.8500,
2010-03,2.8500,
2010-04,2.8500,
2010-05,2.8500,
2010-06,2.8500,
2010-07,2.8500,
2010-08,2.8500,
2010-09,2.8500,
2010-10,2.8500,
2010-11,2.8500,
2010-12,2.8500,
2011-01,2.8500,
2011-02,2.8500,
2011-03,2.8500,
2011-04,2.8500,
2011-05,2.8500,
2011-06,2.8500,
2011-07,2.8500,
2011-08,2.8500,
2011-09,2.8500,
2011-10,2.8500,
2011-11,2.8500,
2011-12,2.8500,
2012-01,2.8500,
2012-02,2.8500,
2012-03,2.8500,
2012-04,2.8500,
2012-05,2.8500,
2012-06,2.8500,
2012-07,2.8500,
2012-08,2.8500,
2012-09,2.8500,
2012-10,2.8500,
2012-11,2.8500,
2012-12,2.8500,
2013-01,2.8500,
2013-02,2.8500,
2013-03,2.8500,
2013-04,2.8500,
2013-05,2.8500,
2013-06,2.8500,
2013-07,2.8500,
2013-08,2.8500,
2013-09,2.8500,
2013-10,2.8500,
2013-11,2.8500,
2013-12,2.8500,
2014-01,2.8500,
2014-02,2.8500,
2014-03,2.8500,
2014-04,2.8500,
2014-05,2.8500,
2014-06,2.8500,
2014-07,2.8500,
2014-08,2.8500,
2014-09,2.8500,
2014-10,2.8500,
2014-11,2.8500,
2014-12,2.8500,
2015-01,3.5000,comment
"","General: Currency conversion with effect from 1 January 2009 at the rate of TMM 5,000 = TMT 1; for exchange rates until 2008, see BBEX3:M:TMM:USD:CA:AC:A01. The manat is pegged to the US dollar.",
"","Source: Central Bank of Turkmenistan, Ashgabat.",
"","Comment on 2009-01: Currency conversion with effect from 1 January 2009 at the rate of TMM 5,000 = TMT 1.",
"","Comment on 2015-01: With effect from 1 January 2015, the fixed exchange rate between the Turkmen manat and the US dollar of USD 1 = TMT 2.85 was changed to USD 1 = TMT 3.50; this corresponds to a depreciation of the Turkmen manat vis-á-vis the US dollar of 18.6%.",
