"",BBK01.OEAD33L,BBK01.OEAD33L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:03,
2002-01,0.527,
2002-04,0.486,
2002-07,0.498,
2002-10,0.449,
2003-01,0.490,
2003-04,0.514,
2003-07,0.463,
2003-10,0.466,
2004-01,0.484,
2004-04,0.548,
2004-07,0.588,
2004-10,0.588,
2005-01,0.618,
2005-04,0.592,
2005-07,0.619,
2005-10,0.635,
2006-01,0.678,
2006-04,0.438,
2006-07,0.420,
2006-10,0.515,
2007-01,0.540,
2007-04,0.509,
2007-07,0.457,
2007-10,0.455,
2008-01,0.452,
2008-04,0.471,
2008-07,0.468,
2008-10,0.493,
2009-01,0.487,
2009-04,0.496,
2009-07,0.494,
2009-10,0.470,
2010-01,0.390,
2010-04,0.367,
2010-07,0.354,
2010-10,0.340,
2011-01,0.347,
2011-04,0.335,
2011-07,0.320,
2011-10,0.319,
2012-01,0.313,
2012-04,0.327,
2012-07,0.316,
2012-10,0.326,
2013-01,0.274,
2013-04,0.257,
2013-07,0.255,
2013-10,0.243,
2014-01,0.236,
2014-04,0.239,
2014-07,0.358,
