"",BBK01.OEYB14V,BBK01.OEYB14V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:05,
2002-01,0.027,
2002-04,0.050,
2002-07,0.069,
2002-10,0.061,
2003-01,0.051,
2003-04,0.062,
2003-07,0.059,
2003-10,0.055,
2004-01,0.056,
2004-04,0.058,
2004-07,0.066,
2004-10,0.078,
2005-01,0.080,
2005-04,0.089,
2005-07,0.082,
2005-10,0.080,
2006-01,0.081,
2006-04,0.083,
2006-07,0.082,
2006-10,0.059,
2007-01,0.057,
2007-04,0.049,
2007-07,0.018,
2007-10,0.023,
2008-01,0.021,
2008-04,0.010,
2008-07,0.011,
2008-10,0.013,
2009-01,0.009,
2009-04,0.009,
2009-07,0.008,
2009-10,0.010,
2010-01,0.008,
2010-04,0.012,
2010-07,0.013,
2010-10,0.011,
2011-01,0.011,
2011-04,0.011,
2011-07,0.015,
2011-10,0.009,
2012-01,0.006,
2012-04,0.008,
2012-07,0.007,
2012-10,0.007,
2013-01,0.008,
2013-04,0.007,
2013-07,0.008,
2013-10,0.010,
2014-01,0.008,
2014-04,0.009,
2014-07,0.008,
