"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.NV00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.NV00.Z06.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign affiliated enterprises arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:33,
1971-12,0.369,
1972-01,0.368,
1972-02,0.368,
1972-03,0.357,
1972-04,0.346,
1972-05,0.340,
1972-06,0.345,
1972-07,0.364,
1972-08,0.322,
1972-09,0.307,
1972-10,0.315,
1972-11,0.326,
1972-12,0.362,
1973-01,0.335,
1973-02,0.323,
1973-03,0.318,
1973-04,0.411,
1973-05,0.404,
1973-06,0.399,
1973-07,0.393,
1973-08,0.388,
1973-09,0.375,
1973-10,0.386,
1973-11,0.384,
1973-12,0.391,
1974-01,0.382,
1974-02,0.397,
1974-03,0.404,
1974-04,0.411,
1974-05,0.432,
1974-06,0.442,
1974-07,0.454,
1974-08,0.474,
1974-09,0.484,
1974-10,0.485,
1974-11,0.508,
1974-12,0.549,
1975-01,0.564,
1975-02,0.567,
1975-03,0.581,
1975-04,0.592,
1975-05,0.618,
1975-06,0.627,
1975-07,0.641,
1975-08,0.670,
1975-09,0.667,
1975-10,0.675,
1975-11,0.689,
1975-12,0.723,
1976-01,0.726,
1976-02,0.713,
1976-03,0.739,
1976-04,0.732,
1976-05,0.759,
1976-06,0.775,
1976-07,0.795,
1976-08,0.798,
1976-09,0.803,
1976-10,0.707,
1976-11,0.753,
1976-12,0.755,
1977-01,0.742,
1977-02,0.775,
1977-03,0.833,
1977-04,0.845,
1977-05,0.834,
1977-06,0.848,
1977-07,0.798,
1977-08,0.835,
1977-09,0.923,
1977-10,0.885,
1977-11,0.890,
1977-12,0.899,
1978-01,0.856,
1978-02,0.875,
1978-03,0.892,
1978-04,0.943,
1978-05,0.935,
1978-06,0.911,
1978-07,0.923,
1978-08,0.927,
1978-09,0.945,
1978-10,0.926,
1978-11,0.941,
1978-12,0.954,
1979-01,0.959,
1979-02,1.111,
1979-03,1.125,
1979-04,0.977,
1979-05,1.006,
1979-06,1.027,
1979-07,1.071,
1979-08,1.051,
1979-09,1.040,
1979-10,1.029,
1979-11,1.004,
1979-12,1.003,
1980-01,1.036,
1980-02,1.120,
1980-03,1.143,
1980-04,1.144,
1980-05,1.173,
1980-06,1.104,
1980-07,1.120,
1980-08,1.132,
1980-09,1.135,
1980-10,1.195,
1980-11,1.178,
1980-12,1.166,
1981-01,1.188,
1981-02,1.224,
1981-03,1.234,
1981-04,1.261,
1981-05,1.256,
1981-06,1.307,
1981-07,1.304,
1981-08,1.355,
1981-09,1.335,
1981-10,1.371,
1981-11,1.323,
1981-12,1.444,
1982-01,1.461,
1982-02,1.493,
1982-03,1.511,
1982-04,1.528,
1982-05,1.549,
1982-06,1.561,
1982-07,1.549,
1982-08,1.601,
1982-09,1.600,
1982-10,1.604,
1982-11,1.642,
1982-12,1.693,
1983-01,1.744,
1983-02,1.963,
1983-03,2.081,
1983-04,2.075,
1983-05,1.859,
1983-06,1.835,
1983-07,1.803,
1983-08,1.871,
1983-09,1.795,
1983-10,1.850,
1983-11,1.867,
1983-12,1.839,
1984-01,1.822,
1984-02,1.826,
1984-03,1.823,
1984-04,1.853,
1984-05,1.990,
1984-06,1.964,
1984-07,2.013,
1984-08,1.994,
1984-09,2.021,
1984-10,2.040,
1984-11,1.997,
1984-12,1.996,
1985-01,2.042,
1985-02,2.004,
1985-03,2.045,
1985-04,2.056,
1985-05,2.110,
1985-06,2.118,
1985-07,2.226,
1985-08,2.261,
1985-09,2.236,
1985-10,2.225,
1985-11,2.214,
1985-12,2.482,
1986-01,2.412,
1986-02,2.531,
1986-03,2.535,
1986-04,2.583,
1986-05,2.507,
1986-06,2.500,
1986-07,2.609,
1986-08,2.724,
1986-09,2.687,
1986-10,2.713,
1986-11,2.728,
1986-12,2.730,
1987-01,3.111,
1987-02,3.131,
1987-03,3.136,
1987-04,3.149,
1987-05,3.269,
1987-06,3.251,
1987-07,3.234,
1987-08,3.515,
1987-09,3.520,
1987-10,3.553,
1987-11,3.559,
1987-12,3.600,
1988-01,3.585,
1988-02,3.564,
1988-03,3.601,
1988-04,3.551,
1988-05,3.554,
1988-06,3.727,
1988-07,3.759,
1988-08,3.795,
1988-09,3.822,
1988-10,4.057,
1988-11,3.852,
1988-12,3.808,
1989-01,3.847,
1989-02,3.853,
1989-03,4.367,
1989-04,4.363,
1989-05,4.452,
1989-06,4.534,
1989-07,4.678,
1989-08,4.753,
1989-09,4.996,
1989-10,4.898,
1989-11,4.894,
1989-12,4.915,
1990-01,4.583,
1990-02,4.540,
1990-03,4.587,
1990-04,4.712,
1990-05,4.771,
1990-06,4.652,
1990-07,4.742,
1990-08,4.751,
1990-09,4.798,
1990-10,4.829,
1990-11,4.807,
1990-12,4.765,
1991-01,4.658,
1991-02,4.526,
1991-03,4.481,
1991-04,4.366,
1991-05,4.395,
1991-06,4.550,
1991-07,4.648,
1991-08,4.657,
1991-09,4.771,
1991-10,4.526,
1991-11,4.502,
1991-12,4.474,
1992-01,4.632,
1992-02,4.599,
1992-03,4.385,
1992-04,4.283,
1992-05,4.262,
1992-06,4.132,
1992-07,4.076,
1992-08,3.968,
1992-09,4.005,
1992-10,4.152,
1992-11,4.090,
1992-12,4.225,
1993-01,4.261,
1993-02,4.260,
1993-03,4.275,
1993-04,4.146,
1993-05,4.174,
1993-06,4.144,
1993-07,3.998,
1993-08,3.972,
1993-09,3.900,
1993-10,4.079,
1993-11,4.118,
1993-12,3.908,
1994-01,3.922,
1994-02,4.009,
1994-03,3.914,
1994-04,3.911,
1994-05,3.859,
1994-06,3.839,
1994-07,3.974,
1994-08,3.582,
1994-09,3.484,
1994-10,3.241,
1994-11,3.297,
1994-12,3.140,
1995-01,3.273,
1995-02,3.321,
1995-03,3.564,
1995-04,3.418,
1995-05,3.444,
1995-06,3.438,
1995-07,3.479,
1995-08,3.523,
1995-09,3.581,
1995-10,3.557,
1995-11,3.703,
1995-12,3.691,
1996-01,3.817,
1996-02,3.828,
1996-03,3.826,
1996-04,3.860,
1996-05,3.891,
1996-06,3.960,
1996-07,3.923,
1996-08,3.829,
1996-09,3.929,
1996-10,3.981,
1996-11,4.092,
1996-12,4.576,
1997-01,4.850,
1997-02,4.862,
1997-03,5.237,
1997-04,5.442,
1997-05,5.550,
1997-06,5.755,
1997-07,5.477,
1997-08,5.465,
1997-09,5.615,
1997-10,5.478,
1997-11,5.897,
1997-12,6.020,
1998-01,6.421,
1998-02,6.558,
1998-03,6.828,
1998-04,7.125,
1998-05,7.321,
1998-06,7.497,
1998-07,7.462,
1998-08,7.439,
1998-09,7.686,
1998-10,7.628,
1998-11,9.065,
1998-12,9.519,
1999-01,8.530,
1999-02,8.313,
1999-03,8.269,
1999-04,8.373,
1999-05,8.406,
1999-06,8.420,
1999-07,9.117,
1999-08,9.617,
1999-09,10.170,
1999-10,10.608,
1999-11,10.769,
1999-12,9.661,
2000-01,9.613,
2000-02,9.837,
2000-03,10.332,
2000-04,10.306,
2000-05,12.285,
2000-06,13.111,
2000-07,13.384,
2000-08,13.449,
2000-09,13.875,
2000-10,14.501,
2000-11,14.435,
2000-12,14.358,
2001-01,14.509,
2001-02,14.839,
2001-03,15.209,
2001-04,15.470,
2001-05,15.273,
2001-06,15.329,
2001-07,15.599,
2001-08,15.627,
2001-09,15.407,
2001-10,15.560,
2001-11,15.394,
2001-12,17.198,
