"",BBK01.OEAC57P,BBK01.OEAC57P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:50,
2002-01,1.064,
2002-04,1.066,
2002-07,1.069,
2002-10,1.066,
2003-01,1.064,
2003-04,1.063,
2003-07,1.345,
2003-10,1.362,
2004-01,1.097,
2004-04,1.123,
2004-07,1.144,
2004-10,1.100,
2005-01,1.095,
2005-04,1.097,
2005-07,1.118,
2005-10,1.116,
2006-01,1.119,
2006-04,1.125,
2006-07,1.127,
2006-10,1.143,
2007-01,1.147,
2007-04,1.118,
2007-07,1.119,
2007-10,1.144,
2008-01,1.143,
2008-04,1.181,
2008-07,1.199,
2008-10,1.216,
2009-01,1.195,
2009-04,1.230,
2009-07,1.252,
2009-10,1.216,
2010-01,1.268,
2010-04,1.549,
2010-07,1.460,
2010-10,1.440,
2011-01,1.414,
2011-04,1.407,
2011-07,1.418,
2011-10,1.424,
2012-01,1.423,
2012-04,1.470,
2012-07,1.484,
2012-10,1.488,
2013-01,1.492,
2013-04,1.485,
2013-07,1.451,
2013-10,1.478,
2014-01,1.455,
2014-04,1.441,
2014-07,1.458,
