"",BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Other investment / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:04,
1991-01,-12.546,
1991-04,133.205,
1991-07,193.404,
1991-10,79.272,
1992-01,45.489,
1992-04,79.970,
1992-07,-7.930,
1992-10,329.531,
1993-01,312.405,
1993-04,3.643,
1993-07,-131.895,
1993-10,65.263,
1994-01,-42.467,
1994-04,-63.694,
1994-07,-86.445,
1994-10,27.078,
1995-01,961.966,
1995-04,338.441,
1995-07,375.500,
1995-10,55.753,
1996-01,203.272,
1996-04,-190.770,
1996-07,671.166,
1996-10,-705.454,
1997-01,1155.270,
1997-04,53.972,
1997-07,-404.549,
1997-10,-1726.674,
1998-01,-822.048,
1998-04,-11.153,
1998-07,-37.331,
1998-10,162.378,
1999-01,20.817,
1999-04,-107.318,
1999-07,422.863,
1999-10,-25.425,
2000-01,523.414,
2000-04,-652.425,
2000-07,-52.911,
2000-10,329.867,
2001-01,284.703,
2001-04,-232.372,
2001-07,112.210,
2001-10,26.208,
2002-01,465.883,
2002-04,-191.341,
2002-07,320.955,
2002-10,-233.502,
2003-01,213.718,
2003-04,1276.365,
2003-07,1333.234,
2003-10,-1521.039,
2004-01,438.803,
2004-04,-243.728,
2004-07,-724.952,
2004-10,567.898,
2005-01,503.595,
2005-04,-453.971,
2005-07,-256.398,
2005-10,-20.344,
2006-01,551.172,
2006-04,3608.713,
2006-07,442.406,
2006-10,-271.974,
2007-01,-174.052,
2007-04,600.375,
2007-07,-671.365,
2007-10,407.225,
2008-01,2070.392,
2008-04,596.268,
2008-07,268.975,
2008-10,-5342.775,
2009-01,-1721.719,
2009-04,-238.829,
2009-07,-153.349,
2009-10,-197.408,
2010-01,-150.630,
2010-04,651.861,
2010-07,-321.823,
2010-10,-131.208,
2011-01,358.804,
2011-04,-137.876,
2011-07,-586.551,
2011-10,-162.036,
2012-01,162.439,
2012-04,-168.606,
2012-07,-308.914,
2012-10,-439.789,
2013-01,3161.806,
2013-04,359.524,
2013-07,-1285.475,
2013-10,1781.181,
2014-01,578.843,Provisional value
2014-04,310.317,Provisional value
2014-07,1488.186,Provisional value
2014-10,-4208.422,Provisional value
