"",BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:13,
1991-01,-2.874,
1991-04,-5.187,
1991-07,0.651,
1991-10,-0.901,
1992-01,-68.252,
1992-04,2.945,
1992-07,0.382,
1992-10,0.772,
1993-01,7.961,
1993-04,0.332,
1993-07,8.922,
1993-10,13.831,
1994-01,7.075,
1994-04,-10.436,
1994-07,11.040,
1994-10,8.899,
1995-01,9.636,
1995-04,6.433,
1995-07,14.181,
1995-10,-0.175,
1996-01,37.143,
1996-04,78.456,
1996-07,4.132,
1996-10,12.034,
1997-01,6.139,
1997-04,-3.434,
1997-07,27.947,
1997-10,46.110,
1998-01,38.201,
1998-04,28.388,
1998-07,62.445,
1998-10,11.356,
1999-01,29.347,
1999-04,-5.071,
1999-07,-49.798,
1999-10,-16.435,
2000-01,142.694,
2000-04,85.489,
2000-07,67.500,
2000-10,-65.944,
2001-01,-54.630,
2001-04,11.759,
2001-07,-8.395,
2001-10,122.473,
2002-01,74.970,
2002-04,-18.742,
2002-07,81.721,
2002-10,-18.801,
2003-01,-95.736,
2003-04,-6.439,
2003-07,-37.109,
2003-10,-8.132,
2004-01,-34.944,
2004-04,21.750,
2004-07,68.152,
2004-10,59.378,
2005-01,39.670,
2005-04,20.388,
2005-07,96.818,
2005-10,-20.552,
2006-01,149.896,
2006-04,-12.897,
2006-07,98.907,
2006-10,240.994,
2007-01,274.966,
2007-04,-28.365,
2007-07,-152.639,
2007-10,-173.746,
2008-01,-102.831,
2008-04,231.132,
2008-07,-187.086,
2008-10,-217.653,
2009-01,-46.543,
2009-04,-13.210,
2009-07,-25.462,
2009-10,81.092,
2010-01,-26.278,
2010-04,33.302,
2010-07,-30.849,
2010-10,73.184,
2011-01,-54.917,
2011-04,-150.476,
2011-07,-90.534,
2011-10,-37.376,
2012-01,63.587,
2012-04,44.543,
2012-07,249.658,
2012-10,30.064,
2013-01,-106.760,
2013-04,164.331,
2013-07,134.454,
2013-10,30.157,
2014-01,-11.458,Provisional value
2014-04,-18.779,Provisional value
2014-07,72.671,Provisional value
2014-10,-39.771,Provisional value
