"",BBK01.OELB15O,BBK01.OELB15O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:33,
2002-01,0.604,
2002-04,0.590,
2002-07,0.583,
2002-10,0.562,
2003-01,0.545,
2003-04,0.536,
2003-07,0.527,
2003-10,0.511,
2004-01,0.497,
2004-04,0.496,
2004-07,0.487,
2004-10,0.481,
2005-01,0.468,
2005-04,0.465,
2005-07,0.464,
2005-10,0.458,
2006-01,0.451,
2006-04,0.443,
2006-07,0.439,
2006-10,0.424,
2007-01,0.424,
2007-04,0.419,
2007-07,0.423,
2007-10,0.405,
2008-01,0.398,
2008-04,0.393,
2008-07,0.383,
2008-10,0.373,
2009-01,0.369,
2009-04,0.370,
2009-07,0.372,
2009-10,0.376,
2010-01,0.380,
2010-04,0.370,
2010-07,0.365,
2010-10,0.359,
2011-01,0.359,
2011-04,0.349,
2011-07,0.354,
2011-10,0.351,
2012-01,0.355,
2012-04,0.401,
2012-07,0.431,
2012-10,0.423,
2013-01,0.423,
2013-04,0.408,
2013-07,0.421,
2013-10,0.422,
2014-01,0.433,
2014-04,0.437,
2014-07,0.448,
