"",BBK01.OEBB12K,BBK01.OEBB12K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:11,
2002-01,5.083,
2002-04,5.087,
2002-07,5.116,
2002-10,5.201,
2003-01,5.010,
2003-04,5.034,
2003-07,5.136,
2003-10,5.106,
2004-01,5.488,
2004-04,5.563,
2004-07,5.538,
2004-10,5.381,
2005-01,4.829,
2005-04,4.825,
2005-07,5.061,
2005-10,5.157,
2006-01,5.376,
2006-04,5.302,
2006-07,5.208,
2006-10,5.067,
2007-01,5.238,
2007-04,5.246,
2007-07,5.416,
2007-10,5.743,
2008-01,5.916,
2008-04,6.246,
2008-07,6.777,
2008-10,7.064,
2009-01,6.951,
2009-04,7.924,
2009-07,8.236,
2009-10,8.524,
2010-01,8.710,
2010-04,9.279,
2010-07,8.903,
2010-10,9.527,
2011-01,9.377,
2011-04,9.480,
2011-07,9.981,
2011-10,10.588,
2012-01,10.596,
2012-04,14.407,
2012-07,14.100,
2012-10,14.203,
2013-01,14.030,
2013-04,13.678,
2013-07,13.483,
2013-10,13.167,
2014-01,12.937,
2014-04,12.774,
2014-07,13.361,
