"",BBK01.OEBK02V,BBK01.OEBK02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:01,
2002-01,0.625,
2002-04,0.629,
2002-07,0.669,
2002-10,0.715,
2003-01,0.689,
2003-04,0.709,
2003-07,0.704,
2003-10,0.771,
2004-01,0.730,
2004-04,0.772,
2004-07,0.776,
2004-10,0.794,
2005-01,0.827,
2005-04,0.841,
2005-07,0.799,
2005-10,0.854,
2006-01,0.880,
2006-04,0.861,
2006-07,0.866,
2006-10,0.963,
2007-01,0.920,
2007-04,0.916,
2007-07,0.946,
2007-10,0.941,
2008-01,0.933,
2008-04,0.913,
2008-07,0.921,
2008-10,0.982,
2009-01,1.089,
2009-04,1.112,
2009-07,1.177,
2009-10,1.219,
2010-01,1.213,
2010-04,1.271,
2010-07,1.345,
2010-10,1.386,
2011-01,1.343,
2011-04,1.298,
2011-07,1.336,
2011-10,1.372,
2012-01,1.365,
2012-04,1.409,
2012-07,1.477,
2012-10,1.514,
2013-01,1.498,
2013-04,1.535,
2013-07,1.596,
2013-10,1.635,
2014-01,1.655,
2014-04,1.679,
2014-07,1.723,
