"",BBK01.OEBK02M,BBK01.OEBK02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:58,
2002-01,1.133,
2002-04,1.220,
2002-07,1.185,
2002-10,1.223,
2003-01,1.159,
2003-04,1.374,
2003-07,1.294,
2003-10,1.310,
2004-01,1.330,
2004-04,1.381,
2004-07,1.384,
2004-10,1.418,
2005-01,1.535,
2005-04,1.720,
2005-07,1.767,
2005-10,1.842,
2006-01,1.838,
2006-04,1.825,
2006-07,1.724,
2006-10,1.798,
2007-01,1.750,
2007-04,1.751,
2007-07,1.729,
2007-10,1.755,
2008-01,1.667,
2008-04,1.718,
2008-07,1.637,
2008-10,1.849,
2009-01,2.280,
2009-04,2.503,
2009-07,2.571,
2009-10,2.651,
2010-01,2.800,
2010-04,2.891,
2010-07,2.954,
2010-10,2.966,
2011-01,3.031,
2011-04,3.047,
2011-07,3.261,
2011-10,3.367,
2012-01,3.417,
2012-04,3.414,
2012-07,3.573,
2012-10,3.599,
2013-01,3.705,
2013-04,3.731,
2013-07,3.825,
2013-10,3.855,
2014-01,3.811,
2014-04,3.752,
2014-07,3.979,
