"",BBK01.OEAD30Q,BBK01.OEAD30Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:24,
2002-01,0.129,
2002-04,0.122,
2002-07,0.117,
2002-10,0.117,
2003-01,0.113,
2003-04,0.109,
2003-07,0.101,
2003-10,0.114,
2004-01,0.115,
2004-04,0.121,
2004-07,0.074,
2004-10,0.133,
2005-01,0.124,
2005-04,0.120,
2005-07,0.123,
2005-10,0.130,
2006-01,0.153,
2006-04,0.156,
2006-07,0.159,
2006-10,0.154,
2007-01,0.213,
2007-04,0.227,
2007-07,0.221,
2007-10,0.170,
2008-01,0.186,
2008-04,0.148,
2008-07,0.140,
2008-10,0.143,
2009-01,0.119,
2009-04,0.112,
2009-07,0.103,
2009-10,0.106,
2010-01,0.096,
2010-04,0.039,
2010-07,0.034,
2010-10,0.027,
2011-01,0.025,
2011-04,0.026,
2011-07,0.024,
2011-10,0.025,
2012-01,0.027,
2012-04,0.049,
2012-07,0.053,
2012-10,0.050,
2013-01,0.062,
2013-04,0.049,
2013-07,0.046,
2013-10,0.053,
2014-01,0.048,
2014-04,0.050,
2014-07,0.049,
