"",BBK01.OEAA06O,BBK01.OEAA06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:26,
2002-01,9.820,
2002-04,9.553,
2002-07,9.788,
2002-10,10.038,
2003-01,9.625,
2003-04,9.532,
2003-07,9.640,
2003-10,9.823,
2004-01,9.202,
2004-04,8.211,
2004-07,7.918,
2004-10,5.166,
2005-01,9.438,
2005-04,9.491,
2005-07,9.205,
2005-10,9.188,
2006-01,9.412,
2006-04,9.533,
2006-07,9.390,
2006-10,9.468,
2007-01,9.608,
2007-04,10.105,
2007-07,10.841,
2007-10,11.113,
2008-01,11.348,
2008-04,11.639,
2008-07,10.954,
2008-10,10.305,
2009-01,10.497,
2009-04,11.275,
2009-07,11.892,
2009-10,13.052,
2010-01,13.109,
2010-04,13.506,
2010-07,13.792,
2010-10,14.007,
2011-01,14.092,
2011-04,14.368,
2011-07,15.191,
2011-10,14.919,
2012-01,15.322,
2012-04,15.412,
2012-07,14.983,
2012-10,14.601,
2013-01,14.273,
2013-04,13.753,
2013-07,14.474,
2013-10,13.508,
2014-01,13.476,
2014-04,13.295,
2014-07,13.232,
