"",BBK01.OECK02L,BBK01.OECK02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:44,
2002-01,0.729,
2002-04,0.722,
2002-07,0.816,
2002-10,0.918,
2003-01,0.764,
2003-04,0.777,
2003-07,0.794,
2003-10,0.803,
2004-01,0.768,
2004-04,0.845,
2004-07,0.752,
2004-10,0.907,
2005-01,0.913,
2005-04,0.928,
2005-07,0.994,
2005-10,1.064,
2006-01,0.981,
2006-04,1.026,
2006-07,1.157,
2006-10,1.047,
2007-01,1.169,
2007-04,1.246,
2007-07,1.139,
2007-10,1.014,
2008-01,0.980,
2008-04,0.988,
2008-07,1.051,
2008-10,1.311,
2009-01,1.545,
2009-04,1.543,
2009-07,1.552,
2009-10,1.549,
2010-01,1.796,
2010-04,1.845,
2010-07,1.690,
2010-10,2.652,
2011-01,1.645,
2011-04,3.095,
2011-07,4.654,
2011-10,3.209,
2012-01,3.890,
2012-04,4.258,
2012-07,4.340,
2012-10,4.386,
2013-01,3.976,
2013-04,3.873,
2013-07,4.158,
2013-10,2.901,
2014-01,2.817,
2014-04,3.249,
2014-07,3.215,
