"",BBFN1.M.DE.N.1.L.CH.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CH.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Switzerland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:11,
1968-01,.,No value available
1968-02,.,No value available
1968-03,.,No value available
1968-04,.,No value available
1968-05,.,No value available
1968-06,.,No value available
1968-07,.,No value available
1968-08,.,No value available
1968-09,.,No value available
1968-10,.,No value available
1968-11,.,No value available
1968-12,0.326,
1969-01,.,No value available
1969-02,.,No value available
1969-03,.,No value available
1969-04,.,No value available
1969-05,.,No value available
1969-06,.,No value available
1969-07,.,No value available
1969-08,.,No value available
1969-09,.,No value available
1969-10,.,No value available
1969-11,.,No value available
1969-12,0.285,
1970-01,.,No value available
1970-02,.,No value available
1970-03,.,No value available
1970-04,.,No value available
1970-05,.,No value available
1970-06,.,No value available
1970-07,.,No value available
1970-08,.,No value available
1970-09,.,No value available
1970-10,.,No value available
1970-11,.,No value available
1970-12,0.684,
1971-01,.,No value available
1971-02,.,No value available
1971-03,.,No value available
1971-04,.,No value available
1971-05,.,No value available
1971-06,.,No value available
1971-07,.,No value available
1971-08,.,No value available
1971-09,.,No value available
1971-10,.,No value available
1971-11,.,No value available
1971-12,0.894,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.353,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.169,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.396,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.490,
1976-01,0.569,
1976-02,0.545,
1976-03,0.551,
1976-04,0.542,
1976-05,0.559,
1976-06,0.598,
1976-07,0.580,
1976-08,0.596,
1976-09,0.619,
1976-10,0.653,
1976-11,0.651,
1976-12,0.581,
1977-01,0.585,
1977-02,0.591,
1977-03,0.584,
1977-04,0.640,
1977-05,0.597,
1977-06,0.570,
1977-07,0.685,
1977-08,0.691,
1977-09,0.749,
1977-10,0.929,
1977-11,0.935,
1977-12,0.931,
1978-01,0.870,
1978-02,0.928,
1978-03,0.921,
1978-04,0.920,
1978-05,0.944,
1978-06,0.957,
1978-07,0.994,
1978-08,1.027,
1978-09,1.103,
1978-10,1.281,
1978-11,1.388,
1978-12,1.167,
1979-01,0.998,
1979-02,1.060,
1979-03,0.954,
1979-04,0.894,
1979-05,0.986,
1979-06,1.017,
1979-07,0.990,
1979-08,1.083,
1979-09,1.007,
1979-10,1.113,
1979-11,1.151,
1979-12,1.058,
1980-01,1.233,
1980-02,1.289,
1980-03,1.352,
1980-04,1.219,
1980-05,1.203,
1980-06,1.241,
1980-07,1.207,
1980-08,1.216,
1980-09,1.259,
1980-10,1.261,
1980-11,1.235,
1980-12,1.249,
1981-01,1.309,
1981-02,1.357,
1981-03,1.458,
1981-04,1.609,
1981-05,1.658,
1981-06,1.728,
1981-07,1.816,
1981-08,1.870,
1981-09,1.906,
1981-10,1.788,
1981-11,1.767,
1981-12,1.774,
1982-01,1.682,
1982-02,1.719,
1982-03,1.724,
1982-04,1.816,
1982-05,1.907,
1982-06,1.830,
1982-07,1.861,
1982-08,1.876,
1982-09,1.844,
1982-10,1.905,
1982-11,1.822,
1982-12,1.652,
1983-01,1.720,
1983-02,1.826,
1983-03,1.725,
1983-04,1.646,
1983-05,1.649,
1983-06,1.723,
1983-07,1.840,
1983-08,1.820,
1983-09,1.851,
1983-10,1.957,
1983-11,1.969,
1983-12,2.010,
1984-01,2.041,
1984-02,1.938,
1984-03,1.956,
1984-04,1.966,
1984-05,1.918,
1984-06,1.861,
1984-07,1.829,
1984-08,1.752,
1984-09,1.760,
1984-10,1.753,
1984-11,1.703,
1984-12,1.580,
1985-01,1.701,
1985-02,1.706,
1985-03,1.618,
1985-04,1.667,
1985-05,1.674,
1985-06,1.728,
1985-07,1.680,
1985-08,1.576,
1985-09,1.634,
1985-10,1.684,
1985-11,1.575,
1985-12,1.440,
1986-01,1.538,
1986-02,1.565,
1986-03,1.477,
1986-04,1.456,
1986-05,1.399,
1986-06,1.408,
1986-07,1.440,
1986-08,1.461,
1986-09,1.430,
1986-10,1.401,
1986-11,1.342,
1986-12,1.216,
1987-01,1.227,
1987-02,1.227,
1987-03,1.270,
1987-04,1.267,
1987-05,1.262,
1987-06,1.284,
1987-07,1.315,
1987-08,1.328,
1987-09,1.515,
1987-10,1.513,
1987-11,1.563,
1987-12,1.773,
1988-01,1.801,
1988-02,1.844,
1988-03,1.825,
1988-04,1.770,
1988-05,1.830,
1988-06,1.818,
1988-07,1.833,
1988-08,2.078,
1988-09,1.894,
1988-10,1.865,
1988-11,1.800,
1988-12,1.126,
1989-01,1.119,
1989-02,1.127,
1989-03,1.116,
1989-04,1.123,
1989-05,1.149,
1989-06,0.999,
1989-07,1.014,
1989-08,1.043,
1989-09,0.991,
1989-10,1.021,
1989-11,1.004,
1989-12,0.954,
1990-01,0.969,
1990-02,1.122,
1990-03,1.142,
1990-04,1.111,
1990-05,1.106,
1990-06,1.115,
1990-07,1.067,
1990-08,1.024,
1990-09,0.819,
1990-10,0.804,
1990-11,0.733,
1990-12,0.848,
1991-01,0.840,
1991-02,0.886,
1991-03,1.102,
1991-04,1.125,
1991-05,1.108,
1991-06,1.103,
1991-07,0.861,
1991-08,1.144,
1991-09,1.128,
1991-10,1.262,
1991-11,1.221,
1991-12,1.222,
1992-01,1.257,
1992-02,1.278,
1992-03,1.224,
1992-04,1.253,
1992-05,1.441,
1992-06,1.289,
1992-07,1.412,
1992-08,1.490,
1992-09,1.541,
1992-10,1.790,
1992-11,1.688,
1992-12,1.622,
1993-01,1.717,
1993-02,1.762,
1993-03,1.671,
1993-04,1.733,
1993-05,1.709,
1993-06,1.489,
1993-07,1.320,
1993-08,1.309,
1993-09,1.437,
1993-10,1.384,
1993-11,1.339,
1993-12,1.400,
1994-01,1.296,
1994-02,1.430,
1994-03,1.367,
1994-04,1.323,
1994-05,1.345,
1994-06,1.321,
1994-07,1.101,
1994-08,1.276,
1994-09,1.341,
1994-10,1.301,
1994-11,1.361,
1994-12,1.021,
1995-01,1.053,
1995-02,1.297,
1995-03,1.123,
1995-04,1.032,
1995-05,1.043,
1995-06,1.282,
1995-07,1.268,
1995-08,1.262,
1995-09,1.323,
1995-10,1.086,
1995-11,1.137,
1995-12,0.868,
1996-01,0.855,
1996-02,0.959,
1996-03,1.113,
1996-04,1.091,
1996-05,1.607,
1996-06,1.547,
1996-07,1.266,
1996-08,1.072,
1996-09,1.105,
1996-10,1.039,
1996-11,0.750,
1996-12,0.755,
1997-01,0.661,
1997-02,0.647,
1997-03,0.725,
1997-04,1.308,
1997-05,0.801,
1997-06,0.730,
1997-07,0.773,
1997-08,0.742,
1997-09,0.661,
1997-10,0.623,
1997-11,0.745,
1997-12,0.686,
1998-01,0.663,
1998-02,0.717,
1998-03,0.680,
1998-04,0.636,
1998-05,0.745,
1998-06,0.761,
1998-07,0.814,
1998-08,0.846,
1998-09,0.775,
1998-10,0.742,
1998-11,0.732,
1998-12,0.685,
1999-01,0.733,
1999-02,0.574,
1999-03,0.656,
1999-04,0.706,
1999-05,0.681,
1999-06,0.696,
1999-07,0.585,
1999-08,0.636,
1999-09,0.632,
1999-10,0.605,
1999-11,0.657,
1999-12,0.732,
2000-01,0.641,
2000-02,0.654,
2000-03,0.593,
2000-04,0.569,
2000-05,0.644,
2000-06,0.697,
2000-07,0.788,
2000-08,0.742,
2000-09,0.715,
2000-10,0.666,
2000-11,0.844,
2000-12,0.870,
2001-01,0.761,
2001-02,0.792,
2001-03,0.766,
2001-04,0.761,
2001-05,0.813,
2001-06,0.854,
2001-07,0.806,
2001-08,0.768,
2001-09,0.725,
2001-10,0.686,
2001-11,0.721,
2001-12,0.682,
2002-01,0.727,
2002-02,0.675,
2002-03,0.518,
2002-04,0.507,
2002-05,0.527,
2002-06,0.488,
2002-07,0.473,
