"",BBK01.OEBB21G,BBK01.OEBB21G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:40,
2002-01,17.277,
2002-04,17.216,
2002-07,16.965,
2002-10,15.190,
2003-01,14.266,
2003-04,14.389,
2003-07,14.958,
2003-10,13.379,
2004-01,13.481,
2004-04,12.549,
2004-07,11.074,
2004-10,10.765,
2005-01,3.149,
2005-04,2.695,
2005-07,1.226,
2005-10,1.091,
2006-01,1.108,
2006-04,0.917,
2006-07,0.906,
2006-10,0.929,
2007-01,0.911,
2007-04,0.821,
2007-07,0.817,
2007-10,0.804,
2008-01,0.776,
2008-04,0.752,
2008-07,1.100,
2008-10,0.777,
2009-01,0.743,
2009-04,2.058,
2009-07,1.370,
2009-10,1.068,
2010-01,1.086,
2010-04,0.979,
2010-07,0.965,
2010-10,0.986,
2011-01,0.638,
2011-04,0.464,
2011-07,0.476,
2011-10,0.456,
2012-01,0.463,
2012-04,0.453,
2012-07,0.440,
2012-10,0.471,
2013-01,0.475,
2013-04,0.532,
2013-07,0.883,
2013-10,0.895,
2014-01,0.931,
2014-04,0.905,
2014-07,0.882,
