"",BBK01.OEXB22L,BBK01.OEXB22L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:42,
2002-01,3.592,
2002-04,3.032,
2002-07,2.591,
2002-10,3.990,
2003-01,3.209,
2003-04,3.298,
2003-07,3.367,
2003-10,4.326,
2004-01,7.846,
2004-04,7.069,
2004-07,6.252,
2004-10,5.135,
2005-01,6.343,
2005-04,6.667,
2005-07,5.716,
2005-10,6.400,
2006-01,6.726,
2006-04,4.041,
2006-07,3.692,
2006-10,3.886,
2007-01,2.260,
2007-04,3.255,
2007-07,3.032,
2007-10,3.159,
2008-01,3.578,
2008-04,4.790,
2008-07,5.446,
2008-10,5.822,
2009-01,6.272,
2009-04,5.778,
2009-07,7.777,
2009-10,5.567,
2010-01,7.610,
2010-04,7.191,
2010-07,7.845,
2010-10,6.756,
2011-01,10.899,
2011-04,6.941,
2011-07,6.236,
2011-10,6.463,
2012-01,7.335,
2012-04,8.485,
2012-07,7.503,
2012-10,8.312,
2013-01,5.661,
2013-04,5.668,
2013-07,5.919,
2013-10,5.640,
2014-01,6.294,
2014-04,5.261,
2014-07,5.131,
