"",BBFB1.Q.N.DE.ES.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:59,
1991-01,9.162,
1991-04,9.746,
1991-07,101.613,
1991-10,7.185,
1992-01,14.868,
1992-04,-9.884,
1992-07,-18.549,
1992-10,-0.607,
1993-01,-4.716,
1993-04,-0.858,
1993-07,-12.260,
1993-10,-2.297,
1994-01,-13.256,
1994-04,66.499,
1994-07,0.061,
1994-10,1.464,
1995-01,4.110,
1995-04,11.760,
1995-07,4.753,
1995-10,9.443,
1996-01,-1.032,
1996-04,-14.496,
1996-07,-1.547,
1996-10,1.673,
1997-01,-1.552,
1997-04,21.454,
1997-07,155.764,
1997-10,57.817,
1998-01,0.230,
1998-04,-6.033,
1998-07,-1.044,
1998-10,3.213,
1999-01,-2.760,
1999-04,-57.633,
1999-07,-3.348,
1999-10,0.389,
2000-01,-1.053,
2000-04,-1.745,
2000-07,-1.707,
2000-10,-1.334,
2001-01,-2.892,
2001-04,-7.003,
2001-07,1.525,
2001-10,258.198,
2002-01,29.152,
2002-04,-53.740,
2002-07,-128.847,
2002-10,3.764,
2003-01,-4.852,
2003-04,-21.257,
2003-07,167.852,
2003-10,-16.331,
2004-01,-84.820,
2004-04,52.863,
2004-07,52.546,
2004-10,1.220,
2005-01,3.030,
2005-04,-1.655,
2005-07,-1.636,
2005-10,733.291,
2006-01,3.325,
2006-04,-1.981,
2006-07,4.277,
2006-10,-0.005,
2007-01,-81.189,
2007-04,-1.648,
2007-07,524.813,
2007-10,-44.634,
2008-01,656.826,
2008-04,-34.041,
2008-07,241.640,
2008-10,497.795,
2009-01,954.576,
2009-04,319.168,
2009-07,221.038,
2009-10,32.831,
2010-01,-35.221,
2010-04,-189.598,
2010-07,-8.331,
2010-10,-216.643,
2011-01,766.543,
2011-04,-733.606,
2011-07,-12.590,
2011-10,1070.821,
2012-01,813.811,
2012-04,620.777,
2012-07,-64.688,
2012-10,83.325,
2013-01,56.248,
2013-04,314.161,
2013-07,-75.779,
2013-10,-3259.348,
2014-01,-62.785,Provisional value
2014-04,-5.070,Provisional value
2014-07,85.397,Provisional value
2014-10,-185.336,Provisional value
