"",BBSF2.M.1.S.00000.TOT01.I.F.INV.CH.00000.F05200.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.INV.CH.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Funds total / Investment fund shares / Switzerland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:03,
2011-03,413,
2011-04,429,
2011-05,434,
2011-06,418,
2011-07,457,
2011-08,376,
2011-09,360,
2011-10,389,
2011-11,397,
2011-12,371,
2012-01,409,
2012-02,420,
2012-03,413,
2012-04,420,
2012-05,422,
2012-06,375,
2012-07,435,
2012-08,456,
2012-09,365,
2012-10,417,
2012-11,419,
2012-12,410,
2013-01,399,
2013-02,367,
2013-03,376,
2013-04,338,
2013-05,266,
2013-06,253,
2013-07,266,
2013-08,276,
2013-09,267,
2013-10,260,
2013-11,288,
2013-12,277,
2014-01,292,
2014-02,309,
2014-03,302,
2014-04,247,
2014-05,250,
2014-06,250,
2014-07,250,
2014-08,251,
2014-09,242,
2014-10,229,
2014-11,213,
