"",BBK01.OELJ01H,BBK01.OELJ01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:15,
2002-01,7.459,
2002-04,7.491,
2002-07,7.578,
2002-10,7.589,
2003-01,7.567,
2003-04,7.668,
2003-07,7.883,
2003-10,7.945,
2004-01,7.695,
2004-04,7.556,
2004-07,7.979,
2004-10,8.182,
2005-01,8.058,
2005-04,8.274,
2005-07,8.430,
2005-10,8.574,
2006-01,8.221,
2006-04,8.244,
2006-07,8.466,
2006-10,8.528,
2007-01,8.476,
2007-04,8.516,
2007-07,8.754,
2007-10,8.634,
2008-01,8.554,
2008-04,8.696,
2008-07,8.984,
2008-10,9.060,
2009-01,8.909,
2009-04,9.127,
2009-07,9.807,
2009-10,10.339,
2010-01,10.417,
2010-04,10.562,
2010-07,11.094,
2010-10,11.309,
2011-01,11.126,
2011-04,11.215,
2011-07,11.622,
2011-10,12.072,
2012-01,12.017,
2012-04,12.182,
2012-07,12.758,
2012-10,13.195,
2013-01,13.071,
2013-04,13.034,
2013-07,13.804,
2013-10,13.931,
2014-01,14.668,
2014-04,14.908,
2014-07,15.645,
